# semantic field per MACULA lexeme (high+prior tiers, homograph-precise); CC0
strong	lexeme	lexeme_gloss	neighbor_strong	neighbor_lexeme	neighbor_gloss	relation	confidence	score
H0001	hbo:0001#1	father	H0517	hbo:0517#1	mother	antonym	recall	0.774
H0001	hbo:0001#1	father	H1121	hbo:1121#1	the.son	antonym	recall	0.762
H0003	hbo:0003	greenness	H0024	hbo:0024#1	Abib	similar	prior	0.5
H0006	hbo:0006#1	destroy	H3772	hbo:3772#1	it.will.be.cut.off	similar	prior	0.5
H0006	hbo:0006#1	destroy	H3772	hbo:3772#_nosense		similar	prior	0.5
H0006	hbo:0006#1	destroy	H3772	hbo:3772#2	it.was.chewed	similar	prior	0.5
H0006	hbo:0006#1	destroy	H7843	hbo:7843#1	destroy	similar	prior	0.5
H0006	hbo:0006#1	destroy	H7843	hbo:7843#3	it.had.corrupted	similar	prior	0.5
H0006	hbo:0006#1	destroy	H7843	hbo:7843#2	tashcheth	similar	prior	0.5
H0006	hbo:0006#1	destroy	H7843	hbo:7843#_nosense		similar	prior	0.5
H0006	hbo:0006#1	destroy	H4191	hbo:4191#1	he.died	similar	prior	0.5
H0006	hbo:0006#1	destroy	H4191	hbo:4191#_nosense		similar	prior	0.5
H0006	hbo:0006#1	destroy	H4191	hbo:4191#2	someone.will.die	similar	prior	0.5
H0006	hbo:0006#1	destroy	H0009	hbo:0009#1	thing.lost	similar	prior	0.5
H0006	hbo:0006#1	destroy	H0010	hbo:0010a	Abaddon	similar	prior	0.5
H0006	hbo:0006#1	destroy	H0013	hbo:0013	the.destruction	similar	prior	0.5
H0006	hbo:0006#1	destroy	H0012	hbo:0012	destruction	similar	prior	0.5
H0006	hbo:0006#1	destroy	H0007	hbo:0007	destroy	similar	prior	0.5
H0006	hbo:0006#2	certainly.(perish)	H8045	hbo:8045#1	destroy	similar	high	0.681
H0006	hbo:0006#2	certainly.(perish)	H8045	hbo:8045#_nosense		similar	high	0.614
H0006	hbo:0006#2	certainly.(perish)	H2763	hbo:2763#1	he.totally.destroyed	similar	high	0.552
H0006	hbo:0006#2	certainly.(perish)	H3772	hbo:3772#1	it.will.be.cut.off	similar	prior	0.5
H0006	hbo:0006#2	certainly.(perish)	H3772	hbo:3772#_nosense		similar	prior	0.5
H0006	hbo:0006#2	certainly.(perish)	H3772	hbo:3772#2	it.was.chewed	similar	prior	0.5
