# multi-word expressions (M1): target phrase -> original lexeme(s); lang=asm; from bcv-commons/lexeme-alignments; content+same-testament, count>=2. CC0
surface	strongs	lexemes	kind	confidence	count	methods
অকবোৰৰ বাল হাননৰ	H1177	hbo:1177	fertility	1.0	2	eflomal
অগনিকুণডত পেলোৱা	H3345	hbo:3345	fertility	1.0	3	eflomal
অগনিকৃত উপহাৰ	H0801	hbo:0801	fertility	1.0	34	eflomal
অগনিকৃত উপহাৰ সবৰূপে	H0801	hbo:0801	fertility	1.0	4	eflomal
অগনিকৃত উপহাৰবোৰৰ	H0801	hbo:0801	fertility	1.0	3	eflomal
অগনিকৃত উপহাৰসবৰূপে	H0801	hbo:0801	fertility	1.0	2	eflomal
অগনিকৃত উপহাৰৰ	H0801	hbo:0801	fertility	1.0	3	eflomal
অগাধ জল	H8415	hbo:8415	fertility	1.0	3	eflomal
অগাধ জলৰ	H8415	hbo:8415	fertility	1.0	3	eflomal
অগাধ ঠাইৰ	G0012	grc:12	fertility	1.0	6	eflomal
অচিনাকি লোকৰ	G0245	grc:245	fertility	1.0	2	eflomal
অচুননৎ অৱসথাৰেই	H6189	hbo:6189	fertility	1.0	2	eflomal
অজঞান লোকে	H3684	hbo:3684	fertility	1.0	2	eflomal
অজঞানী কৰে	H3684	hbo:3684	fertility	1.0	2	eflomal
অজঞানী লোকে	H3684	hbo:3684	fertility	1.0	3	eflomal
অজঞানী লোকৰ	H3684	hbo:3684	fertility	1.0	7	eflomal
অজৰীকাম বোখৰু	H5840	hbo:5840	fertility	1.0	2	eflomal
অতযনত দুখিত	H2560	hbo:2560	fertility	1.0	2	eflomal
অতি পবিতৰ সথান	H1687	hbo:1687	fertility	1.0	2	eflomal
অতি পবিতৰ সথানৰ	H1687	hbo:1687	fertility	1.0	3	eflomal
অতি পৰভাতে উঠি	H7925	hbo:7925	fertility	1.0	2	eflomal
অতি ৰাতিপুৱাতে উঠি	H7925	hbo:7925	fertility	1.0	2	eflomal
অতিশয চমৎকৃত	G1568	grc:1568	fertility	1.0	2	eflomal
অতিশয বিসময মানি	G1605	grc:1605	fertility	1.0	2	eflomal
অতিশয লোক	H1995	hbo:1995	fertility	1.0	2	eflomal
অতিশয হাবিযাহ	G1971	grc:1971	fertility	1.0	7	eflomal
অদবেল মিবচম	H4017	hbo:4017	fertility	1.0	2	eflomal
অদভুত লকষণ দেখুৱাইছিল	H4159	hbo:4159	fertility	1.0	2	eflomal
অদভুত লকষণ দেখুৱাব	G5059	grc:5059	fertility	1.0	2	eflomal
অদভুত লকষণৰ	H4159	hbo:4159	fertility	1.0	2	eflomal
অদুনী বেজক	H0137	hbo:0137	fertility	1.0	2	eflomal
অধিক ভাগ	G4119	grc:4119	fertility	1.0	4	eflomal
অধিক মহান	G4119	grc:4119	fertility	1.0	2	eflomal
অধিক হোৱাত	H7230	hbo:7230	fertility	1.0	2	eflomal
অধিকাৰ নিদিওঁ	H3425	hbo:3425	fertility	1.0	2	eflomal
অধিকাৰী হ	G2816	grc:2816	fertility	1.0	7	eflomal
অধৰম আচৰণ	H6586	hbo:6586	fertility	1.0	3	eflomal
অনতঃসথানলৈ অৰথাৎ	H1687	hbo:1687	fertility	1.0	2	eflomal
অননত কাললৈকে	H5769	hbo:5769	fertility	1.0	9	eflomal
অননত জীৱনৰ	G2222	grc:2222	fertility	1.0	2	eflomal
অনযানয বৃততানত	H3499	hbo:3499	fertility	1.0	9	eflomal
অনযাযৰ তুলাচনী	H3976	hbo:3976	fertility	1.0	2	eflomal
অনা ইহুদী লোকেও	G1484	grc:1484	fertility	1.0	2	eflomal
অনা ইহুদী সকলৰ	G1484	grc:1484	fertility	1.0	18	eflomal
অনা দুদা ফলৰ	H1736	hbo:1736	fertility	1.0	2	eflomal
অনাথোতীযা অবীযেজৰ	H6069	hbo:6069	fertility	1.0	2	eflomal
অনাদি কালৰ	H5769	hbo:5769	fertility	1.0	4	eflomal
অনুগৰহৰ বৰ	G5486	grc:5486	fertility	1.0	5	eflomal
অনুপাতে কিককৰ	H3603	hbo:3603	fertility	1.0	2	eflomal
অনুসাৰে চেকল জোখ	H4948	hbo:4948	fertility	1.0	3	eflomal
অনুসাৰে চেকল জোখৰ	H4948	hbo:4948	fertility	1.0	7	eflomal
অনেক অনেক	H7227	hbo:7227	fertility	1.0	4	eflomal
অনেক বিধ	G1243	grc:1243	fertility	1.0	2	eflomal
অপমান অপমান	H2781	hbo:2781	fertility	1.0	2	eflomal
অপমান কৰিলা	H1442	hbo:1442	fertility	1.0	2	eflomal
অপৰাধৰ পৰতিফল	H5771	hbo:5771	fertility	1.0	2	eflomal
অবশিষট বৃততানত	H3499	hbo:3499	fertility	1.0	3	eflomal
অবিশবাসী সকলৰ	G0571	grc:571	fertility	1.0	2	eflomal
অবীনাদব ইচবাল	H0041	hbo:0041	fertility	1.0	2	eflomal
অবৰাহামৰ অবৰাহাম	G0011	grc:11	fertility	1.0	2	eflomal
অভাৱ পূৰণ	G5303	grc:5303	fertility	1.0	2	eflomal
অভিশপত হওঁক	H0779	hbo:0779	fertility	1.0	5	eflomal
অভিষিকত খৰীষট	G5547	grc:5547	fertility	1.0	3	eflomal
অভিষিকত জনক	H4899	hbo:4899	fertility	1.0	4	eflomal
অভিষিকত জনৰ	H4899	hbo:4899	fertility	1.0	5	eflomal
অযিন গদীৰ	H5872	hbo:5872	fertility	1.0	2	eflomal
অযীন গননীম	H5873	hbo:5873	fertility	1.0	2	eflomal
অলপ সমযৰ	G1024,G3398	grc:1024,grc:3398	phrasal	1.0	11	eflomal;gloss
অলপমান তেজ	H1818	hbo:1818	fertility	1.0	2	eflomal
অলপহে সৰু	G1642	grc:1642	fertility	1.0	2	eflomal
অলপো খাবলৈ	H0398	hbo:0398	fertility	1.0	2	eflomal
অশুচি আতমাৰ	G4151	grc:4151	fertility	1.0	2	eflomal
অশুচি জনাব	H2930	hbo:2930	fertility	1.0	3	eflomal
অশুচি থাকিব	H2930	hbo:2930	fertility	1.0	4	eflomal
অশুচি ধৰা	G0169	grc:169	fertility	1.0	4	eflomal
অশুচিতা নাশক	H5079	hbo:5079	fertility	1.0	6	eflomal
অষটাৰেৎ দেবীৰ	H6253	hbo:6253	fertility	1.0	2	eflomal
অসাৰ নিচিনা	H1892	hbo:1892	fertility	1.0	2	eflomal
অসাৰ পৰতিমাবোৰৰ	H1892	hbo:1892	fertility	1.0	2	eflomal
অসাৰ বাহিৰে	H1892	hbo:1892	fertility	1.0	2	eflomal
