# LLM-proposed labels for domain_clusters.tsv's numbered clusters (claude-haiku-4-5-20251001). Labels are
# a convenience NAME for a cluster formed by clean signals — the LLM did not decide
# membership. See label_domain_clusters.py.
cluster_id	label	size	sample_glosses
119	Rejoicing and Exultation	33	rejoice, rejoicing, rejoicing, shout, shout, neighing, rejoicing, laughing
51	Gathering and Assembly	32	gather, ingathering, gather, storehouse, gathering, collecting, collection, rabble
322	Vision and Prophecy	31	see, seer, vision, vision, vision, vision, dream, be healthy
92	Geographical Features	29	channel, refrain, mire, swamp, plain, Valley (of Jericho), Valley, coast
158	Freedom and Liberty	29	river, produce, mother-of-pearl, thistle, south, liberty, swallow, be free
18	Animals and Strength	28	strength, meadow, ram, deer, doe, arches, doe, oak
42	Measurement and Garments	28	cubit, tribute, go, go, toll, span, extend, handbreadth
52	Baking and Bread	28	bake, swell, dough, boil, cooked, bun, knead, food
88	Fire and Burning	28	carbuncle, burn, fire, kindle, burn, burning, burn, burning
94	Seeking and Digging	28	meet, seek, request, seek, search, mole, search, search
330	Deception and Falsehood	28	deceptive, mock, mockery, smear, lie, lie, deceive, lie
82	Hand and Arm	27	arm, urge, finger, thumb, footstool, arm, palm, hand
85	Shame and Contempt	27	despise, contempt, contempt, be ashamed, shame, shame, shame, be ashamed
95	Livestock and Herds	27	herdsman, cattle, enquire, cattle, morning, seeking, scourging, hoe
142	Body and Sustenance	27	good news, bear tidings, flesh, sinew, single, blood, flatbread, wine
14	Love and Desire	26	be willing, papyrus, desire, love, lover, beloved, love, consent
114	Goats and Grains	26	bank, kid, kid, wheat, shear, rye, tear off, lentil
155	Wisdom and Knowledge	26	understand, understanding, knowledge, knowledge, knowledge, be wise, wise, wisdom
267	Garments and Coverings	26	clothing, act treacherously, treachery, treachery, treacherous, cover, covering, covering
279	Birds and Melancholy	26	languish, dismay, sorrow, fly, kite, hawk, stork, ostrich
282	Dwelling and Settlement	26	sojourn, whelp, whelp, sojourner, Geruth, camp, vault, dwell
48	Anger and Jealousy	25	be angry, heron, face, be indignant, indignation, enrage, rage, vexed
91	Breaking and Tearing	25	repair, breach, breach, break up, bekah, cut down, burst, neck
263	Falling and Ruin	25	slope, slope, Slopes (of Pisgah), cast, captivity, cast a lot, axe, stumble
46	Vocal Expression	24	sigh, sighing, groan, groaning, gecko, cry out, outcry, wail
93	Musical Instruments and Vessels	24	flask, be luxuriant, flute, bottle, trumpet, blow, jar, ruby
181	Concealment and Hiding	24	hide, hide, hide, wrap, covering, secrecy, hiding-place, treasure
53	Darkness	23	late, gloom, darkness, darkness, darkness, darken, darkness, obscure
461	Pouring and Emptying	23	void, become vain, vanity, melting, twist, pour, casting, casting
472	Strength and Authority	23	might, might, lord, queen, man, mighty, lady, strengthen
3	Might and Grandeur	22	mighty, mighty, fly, wing, pinion, great, be glorious, robe
10	Rulership and Dominion	22	king, dominion, rule, rule, leader, ruler, eunuch, lord
12	Land and Territory	22	land, coastland, earth, land, place, judge, judgment, judge
29	Fear and Anxiety	22	terror, dismay, trouble, terror, be anxious, anxiety, trembling, horror
144	Striking and Crushing	22	threshing floor, beat, tread, threshing, ibex, thin, curtain, crush
204	Compassion and Petition	22	belly, ask, petition, beauty, favor, gracious, entreat, favor
209	Desire and Longing	22	desire, desire, desire, delight, desire, desire, ring, spoke
321	Encounter and Coldness	22	bowl, target, accident, rafter, cool, fall on, chance, meet
32	Food and Eating	21	food, eat, food, food, swallow up, swallowing, eat, food
43	Trust and Hope	21	plumbline, trust, security, trust, trust, security, seek refuge, waiting
115	Contempt and Cursing	21	curse, despise, contempt, reviling, taunt, blaspheme, taunt, autumn
121	Desolation and Ruin	21	breast, dry, dry, drought, desolation, dry ground, drought, wormwood
311	Restraint and Control	21	chief, joint, reserve, hold in, withhold, grow dim, easing, restrain
313	Oppression and Crushing	21	trample, crush, oppress, oppress, oppression, subjugation, oppression, trampling
317	Distress and Confinement	21	enemy, be disheartened, purse, constraint, distress, pillar, distress, siege
20	Light and Luminosity	20	light, light, flame, light, Urim, use lightning, shine, splendor
39	Disability and Impairment	20	silence, mute, sheaf, stack, deaf, blindness, blind, blind
54	Dangerous Animals	20	wild beast, falcon, viper, wreath, Leviathan, wreath, threshold, serpent
65	Marriage and Family	20	betroth, woman, daughter, virgin, virginity, mother-in-law, relative, son-in-law
69	Wine and Intoxication	20	cluster, unripe grape, vileness, tendril, shake, oppression, salted, leaven
87	Mourning and Lamentation	20	mourn, mourning, mourning, balsam, weep, bitterly, weeping, weeping
105	Elevation and Exaltation	20	exult, high, height, high, haughtiness, height, lift, build
156	Dissolution and Decay	20	put out, quench, melt, despairing, liquefy, despair, melt, decay
163	Rest and Quiet	20	rest, repose, rest, be refreshed, disturb, moment, restful, be wide
228	Beauty and Goodness	20	be pleasing, pleasant, goodness, be good, be beautiful, beautiful, pretty, precious
287	Spreading and Bending	20	bend (down), perversion, spread, spreading, spreading-place, spread, stretch, turn aside
296	Weights and Measures	20	berry, neck, cud, gerah, throat, drag, Plain (of Jericho), talent
27	Hatred and Loathing	19	be hostile, enmity, stink, stench, foul weed, sour grapes, abhor, loathing
41	Community and Body	19	people, back, back, back, nation, body, shut, body
56	Movement and Possession	19	time, armlet, quiver, tread, drachma, elevation, honour, arrow
149	Judgment and Contention	19	stir up, judge, judgment, judge, opponent, strife, contention, province
178	Scattering and Breaking	19	scatter, scatter, Horite, dip, pitchfork, scattering wind, war-club, shattering
221	Agriculture and Crafts	19	farmer, destroyed, silence, silence, plowing, sun, Potsherd (Gate), grind
264	Writing and Recording	19	piece, letter, stylus, pine, write, write, writing, inscription
292	Redemption and Rescue	19	redeem, redemption, deliverance, court, salvation, save, salvation, salvation
305	Service and Ministry	19	maidservant, minister, priest, priesthood, work, message, work, deed
354	Burden and Weight	19	compute, yoke, yoke, tribute, number, taskworker, burden, laden
373	Mixed and Scattered Things	19	fodder, mix, stand, gnat, shoot, mixed drink, mix, mixture
451	Death and Killing	19	die, kill, slaughter, Slaughter, die, death, death, sling
0	Destruction and Loss	18	perish, destroy, destruction, something lost, destruction, destruction, destruction, devote
1	Animals and Enclosures	18	crib, fatten, stall, pluck, stall, lion, lion, this
31	Honor and Heaviness	18	cruel, cruel, cruel, honor, noble, honor, heaviness, heavy
35	Trees and Wood	18	tree, reinforced, cedar, cedar, cypress, cypress, cistern, rush
37	Idols and Images	18	idol, idol, liquid, horror, figure, idol, idol, shudder
