# source=llm; anchored on the original lemma (Hebrew/Greek), English gloss used only as a hint
strong	lemma_ref	en_ref	gloss
G0001	ἄλφα	Alpha	अल्फा
G0010	Ἀβιούδ	Abiud	अबीउद
G0100	ἁδρότης	abundance	प्रचुरता
G1000	βολή	throwing	फेंक
G1001	βολίζω	sound	माप
G1002		arrow	तीर
G1003	Βόες	Boaz	बोअज़
G1004	βόρβορος	mire	कीचड़
G1005	βορρᾶς	north	उत्तर
G1006	βόσκω	feed	चराना
G1007	Βοσόρ	Beor	बोसोर
G1008	βοτάνη	crop	घास
G1009	βότρυς	bunch of grapes	गुच्छा
G0101	ἀδυνατέω	be impossible	असंभव
G1010	βουλευτής	member of a council	सदस्य
G1011	βουλεύω	plan	योजना
G1012	βουλή	plan	निर्णय
G1013	βούλημα	plan	इच्छा
G1014	βούλομαι	plan	चाहना
G1015	βουνός	hill	पहाड़ी
G1016	βοῦς	ox	बैल
G1017	βραβεῖον	prize	पुरस्कार
G1018	βραβεύω	rule	न्यायाधीश
G1019	βραδύνω	delay	देरी
G0102	ἀδύνατος	unable	असमर्थ
G1020	βραδυπλοέω	sail slowly	धीमी नाविकी
G1021	βραδύς	slow	धीमा
G1022	βραδύτης	slowness	मंदता
G1023	βραχίων	arm	भुजा
G1024	βραχύς	little	थोड़ा
G1025	βρέφος	infant	शिशु
G1026	βρέχω	rain down	बारिश
G1027	βροντή	thunder	गर्जन
G1028	βροχή	rain	वर्षा
G1029	βρόχος	restraint	बंधन
G0103	ᾄδω	sing	गाना
G1030	βρυγμός	gnashing	दांत पीसना
G1031	βρύχω	gnash	दांत भिंचना
G1032	βρύω	pour	बहना
G1033	βρῶμα	food	भोजन
G1034	βρώσιμος	edible	खाने योग्य
G1035	βρῶσις	eating	भोजन
G1036	βυθίζω	sink	डूबना
G1037	βυθός	deep	गहराई
G1038	βυρσεύς	tanner	चर्मकार
G1039	βύσσινος	fine linen	महीन मलमल
G0104	ἀεί	always	सदा
G1040	βύσσος	fine linen	महीन मलमल
G1041	βωμός	altar	वेदी
G1042	Γαββαθᾶ	Gabbatha	गब्बता
G1043	Γαβριήλ	Gabriel	गेब्रिएल
G1044	γάγγραινα	gangrene	गैंग्रीन
G1045	Γάδ	Gad	गाद
G1046	Γαδαρηνός	Gadara	गदारी
G1047	γάζα	treasury	खजाना
G1048	Γάζα	Gaza	गाजा
G1049	γαζοφυλάκιον	treasury	खजाने की पेटी
G0105	ἀετός	eagle	गरुड़
G1050	Γάϊος	Gaius	गैयुस
G1051	γάλα	milk	दूध
G1052	Γαλάτης	Galatian	गलातियों
G1053	Γαλατία	Galatia	गलातिया
G1054	Γαλατικός	Galatia	गलातियों का
G1055	γαλήνη	calm	शांति
G1056	Γαλιλαία	Galilee	गलील
G1057	Γαλιλαῖος	Galilean	गलीली
G1058	Γαλλίων	Gallio	गल्लियो
G1059	Γαμαλιήλ	Gamaliel	गमलिएल
G0106	ἄζυμος	unleavened	बेखमीरी
G1060	γαμέω	marry	विवाह करना
G1061	γαμίζω	give in marriage	ब्याह देना
G1062	γάμος	wedding	विवाह
G1063	γάρ	for	क्योंकि
G1064	γαστήρ	belly	पेट
G1065	γέ	indeed	वास्तव में
G1066	Γεδεών	Gideon	गिदोन
G1067	Γέεννα	hell	नरक
G1068	Γεθσημανεί	Gethsemane	गेथसमनी
G1069	γείτων	neighbour	पड़ोसी
G0107	Ἀζώρ	Azor	अजोर
G1070	γελάω	laugh	हँसना
G1071	γέλως	laughter	हँसी
G1072	γεμίζω	fill	भरना
G1073	γέμω	be full	भरा होना
G1074	γενεά	generation	पीढ़ी
G1075	γενεαλογέω	trace genealogy	वंशावली बताना
G1076	γενεαλογία	genealogy	वंशावली
G1077	γενέσια	birthday	जन्मदिन
G1078	γένεσις	origin	जन्म
G1079	γενετή	birth	जन्म
G0108	Ἄζωτος	Azotus	अजोतुस
G1080	γεννάω	beget	जन्म देना
G1081	γένημα	offspring	फल
G1082	Γεννησαρέτ	Gennesaret	गन्नेसरत
G1083		birth	जन्म
G1084	γεννητός	born	जन्मा हुआ
G1085	γένος	family	जाति
G1086		Gerasene	गेरासीनी
G1087	γερουσία	council of elders	प्राचीनों की परिषद्
G1088	γέρων	old man	बुजुर्ग
G1089	γεύομαι	taste	स्वाद लेना
G0109	ἀήρ	air	वायु
G1090	γεωργέω	farm	खेती करना
G1091	γεώργιον	farm field	खेत
G1092	γεωργός	farmer	किसान
G1093	γῆ	earth	पृथ्वी
G1094	γῆρας	old age	बुढ़ापा
G1095	γηράσκω	grow old	बूढ़ा होना
G1096	γίνομαι	be	होना
G1097	γινώσκω	know	जानना
G1098	γλεῦκος	sweet wine	मीठी दाखमधु
G1099	γλυκύς	sweet	मीठा
G0011	Ἀβραάμ	Abraham	अब्राहम
G0110	ἀθανασία	immortality	अमरता
G1100	γλῶσσα	tongue	जीभ
G1101	γλωσσόκομον	moneybag	धन की थैली
G1102	γναφεύς	one who bleaches	कपड़ा धोने वाला
G1103	γνήσιος	genuine	असली
G1104	γνησίως	genuinely	सच्चाई से
G1105	γνόφος	darkness	अँधेरा
G1106	γνώμη	resolution	मत
G1107	γνωρίζω	make known	ज्ञात करना
G1108	γνῶσις	knowledge	ज्ञान
G1109	γνώστης	expert in	विशेषज्ञ
G0111	ἀθέμιτος	unlawful	अवैध
G1110	γνωστός	acquainted with	परिचित
G1111	γογγύζω	murmur	कुड़कुड़ाना
G1112	γογγυσμός	murmuring	कुड़कुड़ाहट
G1113	γογγυστής	murmurer	कुड़कुड़ाने वाला
G1114	γόης	imposter	जादूगर
G1115	Γολγοθᾶ	Golgotha	गोलगोथा
G1116	Γόμορρα	Gomorrah	गोमोर्रा
G1117	γόμος	cargo	माल
G1118	γονεύς	parent	माता-पिता
G1119	γόνυ	knee	घुटना
G0112	ἄθεος	without God	ईश्वरविहीन
G1120	γονυπετέω	kneel	घुटने टेकना
G1121	γράμμα	something written	लिपि
G1122	γραμματεύς	scribe	शास्त्री
G1123	γραπτός	written	लिखित
G1124	γραφή	writing	शास्त्र
G1125	γράφω	write	लिखना
G1126	γραώδης	old wives’ tale	बुढ़िया की बकवास
G1127	γρηγορέω	keep watch	जागरूक रहना
G1128	γυμνάζω	train	प्रशिक्षण देना
G1129	γυμνασία	training	प्रशिक्षण
G0113	ἄθεσμος	lawless	कानून से परे
G1130	γυμνιτεύω	be naked	नंगा होना
G1131	γυμνός	naked	नंगा
G1132	γυμνότης	nakedness	नग्नता
G1133	γυναικάριον	weak-willed woman	कमजोर महिला
G1134	γυναικεῖος	feminine	स्त्रीलिंग
G1135	γυνή	woman	महिला
G1136	Γώγ	Gog	गोग
G1137	γωνία	corner	कोना
G1138	Δαυείδ	David	दाऊद
G1139	δαιμονίζομαι	be demonised	भूत-प्रेत से ग्रस्त होना
G0114	ἀθετέω	reject	अस्वीकार करना
G1140	δαιμόνιον	demon	भूत
G1141	δαιμονιώδης	demonic	भूतिया
G1142	δαίμων	demon	दानव
G1143	δάκνω	bite	काटना
G1144	δάκρυον	teardrop	आँसू
G1145	δακρύω	weep	रोना
G1146	δακτύλιος	ring	अँगूठी
G1147	δάκτυλος	finger	उँगली
G1148	Δαλμανουθά	Dalmanutha	दलमानूता
G1149	Δαλματία	Dalmatia	दलमातिया
G0115	ἀθέτησις	nullification	निरसन
G1150	δαμάζω	tame	वश करना
G1151	δάμαλις	heifer	गाय
G1152	Δάμαρις	Damaris	दामारिस
G1153	Δαμασκηνός	Damascus	दमिश्की
G1154	Δαμασκός	Damascus	दमिश्क
G1155	δανίζω	lend	उधार देना
G1156	δάνιον	debt	कर्ज
G1157	δανιστής	moneylender	महाजन
G1158	Δανιήλ	Daniel	दानिएल
G1159	δαπανάω	spend	खर्च करना
G0116	Ἀθῆναι	Athens	एथेंस
G1160	δαπάνη	cost	खर्च
G1161	δέ	then	और
G1162	δέησις	petition	विनती
G1163	δέω	be necessary	आवश्यक होना
G1164	δεῖγμα	example	उदाहरण
G1165	δειγματίζω	disgrace	लज्जित करना
G1166	δεικνύω	show	दिखाना
G1167	δειλία	timidity	डर
G1168	δειλιάω	be timid	डरना
G1169	δειλός	timid	डरपोक
G0117	Ἀθηναῖος	Athenian	एथेनियाई
G1170	δεῖνα	certain one	अमुक
G1171	δεινῶς	terribly	भयंकर रूप से
G1172	δειπνέω	dine	भोजन करना
G1173	δεῖπνον	dinner	भोजन
G1174	δεισιδαιμονέστερος	religious	धार्मिक
G1175	δεισιδαιμονία	religion	धर्म
G1176	δέκα	ten	दस
G1177	δεκαοκτώ	twelve	अठारह
G1178	δεκαπέντε	fifteen	पंद्रह
G1179	Δεκάπολις	Decapolis	दशनगर
G0118	ἀθλέω	compete	प्रतिस्पर्धा करना
G1180	δεκατέσσαρες	fourteen	चौदह
G1181		tenth	दसवां
G1182	δέκατος	tenth	दसवां
G1183	δεκατόω	tithe	दशमांश देना
G1184	δεκτός	acceptable	ग्रहणीय
G1185	δελεάζω	entice	लुभाना
G1186	δένδρον	tree	वृक्ष
G1187	δεξιολάβος	slinger	गुलेल चलानेवाला
G1188	δεξιός	right	दाहिना
G1189	δέος	pray	भय
G0119	ἀθροίζω	struggle	संघर्ष
G1190	Δερβαῖος	Derbe	दर्बे का
G1191	Δέρβη	Derbe	दर्बे
G1192	δέρμα	leather	चमड़ा
G1193	δερμάτινος	made of leather	चमड़े का
G1194	δέρω	beat up	पीटना
G1195	δεσμεύω	bind	बाँधना
G1196		shackle	जंजीर
G1197	δέσμη	bundle	गठरी
G1198	δέσμιος	prisoner	बन्दी
G1199	δεσμός	chain	जंजीर
G0012	ἄβυσσος	abyss	अतल
G0120	ἀθυμέω	be discouraged	निराश होना
G1200	δεσμοφύλαξ	jailer	जेलर
G1201	δεσμωτήριον	prison	कारागार
G1202	δεσμώτης	prisoner	बन्दी
G1203	δεσπότης	master	स्वामी
G1204	δεῦρο	come	आओ
G1205	δεῦτε	come	आओ
G1206	δευτεραῖος	next day	दूसरे दिन
G1207	δεύτερον	second-first	दूसरे-पहले
G1208	δεύτερος	secondly	दूसरा
G1209	δέχομαι	receive	ग्रहण करना
G0121	ἀθῷος	innocent	निरपराध
G1210	δέω	bind	बाँधना
G1211	δή	so	तो
G1212	δῆλος	Urim	स्पष्ट
G1213	δηλόω	make clear	स्पष्ट करना
G1214	Δημᾶς	Demas	देमास
G1215	δημηγορέω	give a speech	भाषण करना
G1216	Δημήτριος	Demetrius	देमेत्रियुस
G1217	δημιουργός	builder	निर्माता
G1218	δῆμος	people	जनता
G1219	δημόσιος	public	सार्वजनिक
G0122	αἴγιος	goat's	बकरी का
G1220	δηνάριον	denarius	दीनार
G1221	δηνάριον	whatever	कोई भी
G1222	δήπου	surely	निश्चित रूप से
G1223	διά	through	के माध्यम से
G1224	διαβαίνω	cross	पार करना
G1225	διαβάλλω	accuse	आरोप लगाना
G1226	διαβεβαιόομαι	insist	जोर देना
