# multi-word expressions (M1): target phrase -> original lexeme(s); lang=rus; from bcv-commons/lexeme-alignments; content+same-testament, count>=2. CC0
surface	strongs	lexemes	kind	confidence	count	methods
авел беф мааху	H0062	hbo:0062	fertility	1.0	2	gloss
авел мааху	H0062	hbo:0062	fertility	1.0	2	eflomal
авигея бывшая	H0026	hbo:0026	fertility	1.0	3	eflomal
адони везек	H0137	hbo:0137	fertility	1.0	2	eflomal
арфаксад каинан	H0775	hbo:0775	fertility	1.0	2	eflomal
аскеназ рифат	H0813	hbo:0813	fertility	1.0	2	eflomal
баал ханан	H1177	hbo:1177	fertility	1.0	10	eflomal;gloss
башне сихемской	H4026	hbo:4026b	fertility	1.0	3	eflomal
беэр лахай рои	H0883	hbo:0883	fertility	1.0	2	eflomal
ближайшим исполнителем приказаний	H4928	hbo:4928	fertility	1.0	2	eflomal
боковых комнат	H6763	hbo:6763	fertility	1.0	2	eflomal
брачный пир	G1062	grc:1062	fertility	1.0	11	eflomal;gloss
ваал гада	H1171	hbo:1171	fertility	1.0	6	eflomal;gloss
ваал перацим	H1188	hbo:1188	fertility	1.0	8	eflomal;gloss
ваал фегору	H1187	hbo:1187	fertility	1.0	4	eflomal
ваал цефоном	H1189	hbo:1189	fertility	1.0	6	eflomal;gloss
вааса строения	H1201	hbo:1201	fertility	1.0	2	eflomal
ввел блужение	H2181	hbo:2181	fertility	1.0	2	eflomal
веельзевула божество	H1176	hbo:1176	fertility	1.0	3	eflomal
великие оскорбления	H1419	hbo:1419	fertility	1.0	2	eflomal
великому милосердию	H7356	hbo:7356	fertility	1.0	8	eflomal;gloss
весь народ	H3605	hbo:3605	fertility	1.0	3	eflomal
весьма большим	H3515	hbo:3515	fertility	1.0	4	eflomal;gloss
винный мех	H5035	hbo:5035	fertility	1.0	2	eflomal
виноградная лоза	H1612	hbo:1612	fertility	1.0	21	eflomal;gloss
виноградной кисти	H0811	hbo:0811	fertility	1.0	4	eflomal;gloss
виноградной лозе	H1612	hbo:1612	fertility	1.0	6	eflomal;gloss
виноградной лозы	H1612	hbo:1612	fertility	1.0	12	eflomal;gloss
виноградною лозою	H1612	hbo:1612	fertility	1.0	6	eflomal;gloss
виноградные лозы	H1612	hbo:1612	fertility	1.0	4	eflomal;gloss
виноградные сады	H3754	hbo:3754	fertility	1.0	3	eflomal
виноградный сок	H8492	hbo:8492	fertility	1.0	3	eflomal
виноградных ягод	H6025	hbo:6025	fertility	1.0	4	eflomal;gloss
вложу кольцо	H2397	hbo:2397	fertility	1.0	4	eflomal;gloss
внесенным список	H3187	hbo:3187	fertility	1.0	3	eflomal
внутренность чрева	H0990	hbo:0990	fertility	1.0	2	eflomal
водяными воротами	H8179	hbo:8179	fertility	1.0	2	eflomal
вожделенными дарами	H4022	hbo:4022	fertility	1.0	2	eflomal
возвышенную речь	H4912	hbo:4912	fertility	1.0	4	eflomal;gloss
воздав благодарение	G2168	grc:2168	fertility	1.0	2	eflomal
возьмет десятую	H6237	hbo:6237	fertility	1.0	2	eflomal
вола козлов	H6260	hbo:6260	fertility	1.0	3	eflomal
волы наклонили	H8058	hbo:8058	fertility	1.0	4	eflomal;gloss
воскуряли фимиам	H6999	hbo:6999	fertility	1.0	2	eflomal
воспряни воспряни	H5782	hbo:5782	fertility	1.0	6	eflomal;gloss
восстань восстань	H5782	hbo:5782	fertility	1.0	2	eflomal
вошедшие исчисление	H6485	hbo:6485	fertility	1.0	3	eflomal
вошедших исчисление	H6485	hbo:6485	fertility	1.0	3	eflomal
встав рано	H7925	hbo:7925	fertility	1.0	13	eflomal;gloss
встал рано	H7925	hbo:7925	fertility	1.0	4	eflomal
встань рано	H7925	hbo:7925	fertility	1.0	2	gloss
вызывателей мертвецов	H0178	hbo:0178	fertility	1.0	4	eflomal;gloss
вызывающим мертвых	H0178	hbo:0178	fertility	1.0	6	eflomal;gloss
высоко превознесся	H1342	hbo:1342	fertility	1.0	4	eflomal;gloss
выходили замуж	G1061	grc:1061	fertility	1.0	2	eflomal
глиняным сосудом	H2789	hbo:2789	fertility	1.0	4	eflomal;gloss
голубого цвета	H8504	hbo:8504	fertility	1.0	2	eflomal
гонишь трудно	G1377	grc:1377	fertility	1.0	2	eflomal
горе ор	H2022	hbo:2022	fertility	1.0	6	eflomal
городе престольном	H1002	hbo:1002	fertility	1.0	6	eflomal;gloss
гору ор	H2022	hbo:2022	fertility	1.0	2	eflomal
горы ор	H2022	hbo:2022	fertility	1.0	3	eflomal
горькими травами	H4844	hbo:4844	fertility	1.0	4	eflomal;gloss
господствуют над	G2634	grc:2634	fertility	1.0	4	eflomal;gloss
гранатовыми яблоками	H7416	hbo:7416	fertility	1.0	4	eflomal;gloss
гранатовых яблок	H7416	hbo:7416	fertility	1.0	12	eflomal;gloss
грудного младенца	H3126	hbo:3126	fertility	1.0	6	eflomal;gloss
грудою развалин	H5856	hbo:5856	fertility	1.0	4	eflomal;gloss
давая разуметь	G4591	grc:4591	fertility	1.0	6	eflomal;gloss
дворца севна	H7644	hbo:7644	fertility	1.0	2	eflomal
двумя родами семян	H3610	hbo:3610	fertility	1.0	2	gloss
действию крепкой	H2389	hbo:2389	fertility	1.0	2	eflomal
делами страны	H5673	hbo:5673	fertility	1.0	4	eflomal;gloss
десятую ефы	H6241	hbo:6241	fertility	1.0	3	eflomal
десятых ефы	H6241	hbo:6241	fertility	1.0	12	eflomal
десятых ефы муки	H6241	hbo:6241	fertility	1.0	2	eflomal
десятых части ефы	H6241	hbo:6241	fertility	1.0	5	eflomal
дикие ослы	H6501	hbo:6501	fertility	1.0	6	eflomal;gloss
дикие ягоды	H0891	hbo:0891	fertility	1.0	2	eflomal
дикий осел	H6501	hbo:6501	fertility	1.0	5	eflomal;gloss
длинных одеждах	G4749	grc:4749	fertility	1.0	2	eflomal
добровольных приношениях	H5071	hbo:5071	fertility	1.0	2	eflomal
добычу взятую	H7998	hbo:7998	fertility	1.0	2	eflomal
долине дуба	H0425	hbo:0425b	fertility	1.0	4	eflomal;gloss
долине еннома	H1516	hbo:1516a	fertility	1.0	2	eflomal
долине соляной	H1516	hbo:1516c	fertility	1.0	2	eflomal
долины енномовой	H1516	hbo:1516a	fertility	1.0	2	eflomal
достанутся добычу врагам	H0957	hbo:0957	fertility	1.0	3	eflomal
дочери дочери	H1323	hbo:1323	fertility	1.0	2	eflomal
думаешь опереться	H0982	hbo:0982	fertility	1.0	2	eflomal
единому премудрому	G3441	grc:3441	fertility	1.0	2	eflomal
ецион гавера	H6100	hbo:6100	fertility	1.0	4	eflomal;gloss
ецион гавере	H6100	hbo:6100	fertility	1.0	6	eflomal;gloss
женского пусть	H5347	hbo:5347	fertility	1.0	2	eflomal
женятся выходят	G1060	grc:1060	fertility	1.0	3	eflomal
жертвенные чаши	H4219	hbo:4219	fertility	1.0	2	eflomal
жует жвачку	H1625	hbo:1625	fertility	1.0	2	eflomal
заговор заговор	H7195	hbo:7195	fertility	1.0	2	eflomal
записывавшего войско	H6633	hbo:6633	fertility	1.0	2	eflomal
заповедь заповедь	H6673	hbo:6673	fertility	1.0	2	eflomal
зачала родила	H3205	hbo:3205	fertility	1.0	2	eflomal
знамения чудеса	H4159	hbo:4159	fertility	1.0	2	eflomal
золота чистого	H6337	hbo:6337	fertility	1.0	2	eflomal
золотой венец	H2091	hbo:2091	fertility	1.0	2	eflomal
иаазии бено	H3269	hbo:3269	fertility	1.0	4	eflomal;gloss
иавис галаадский	H3003	hbo:3003b	fertility	1.0	2	eflomal
иависа галаадского	H3003	hbo:3003b	fertility	1.0	10	eflomal
иевусеев гергесеев	H2983	hbo:2983	fertility	1.0	3	eflomal
избрав мужей	G0435	grc:435	fertility	1.0	2	eflomal
избрал воинов	H0970	hbo:0977	fertility	1.0	2	eflomal
изрек пророчество	H5012	hbo:5012	fertility	1.0	4	eflomal;gloss
изреки пророчество	H5012	hbo:5012	fertility	1.0	14	eflomal
иисус отвечал	G2424	grc:2424	fertility	1.0	10	eflomal
иоктан алмодада	H3355	hbo:3355	fertility	1.0	2	eflomal
искусною работою	H2803	hbo:2803a	fertility	1.0	4	eflomal
источника рогель	H5883	hbo:5883	fertility	1.0	4	eflomal;gloss
кадес варне	H6947	hbo:6947	fertility	1.0	4	eflomal;gloss
кадес варни	H6947	hbo:6947	fertility	1.0	16	eflomal;gloss
камнями побивающий	G3036	grc:3036	fertility	1.0	2	eflomal
киброт гаттааве	H6914	hbo:6914	fertility	1.0	4	eflomal;gloss
киброт гаттаавы	H6914	hbo:6914	fertility	1.0	4	eflomal;gloss
кириаф арбе	H7153	hbo:7153	fertility	1.0	4	eflomal;gloss
кириаф арбы	H7153	hbo:7153	fertility	1.0	12	eflomal;gloss
кириаф иарим	H7157	hbo:7157	fertility	1.0	8	eflomal;gloss
кириаф иариме	H7157	hbo:7157	fertility	1.0	4	eflomal;gloss
кириаф сефер	H7158	hbo:7158a	fertility	1.0	2	eflomal
кованого по	H7820	hbo:7820	fertility	1.0	2	eflomal
ковчег завета	H0727	hbo:0727	fertility	1.0	4	eflomal
козьей шерсти	H5795	hbo:5795	fertility	1.0	3	eflomal
козью шерсть	H5795	hbo:5795	fertility	1.0	3	eflomal
колена запечатлено	G5443	grc:5443	fertility	1.0	12	eflomal
колене иудином	H3063	hbo:3063	fertility	1.0	2	eflomal
колесо находилось	H0212	hbo:0212	fertility	1.0	2	eflomal
колючий терн	H2336	hbo:2336	fertility	1.0	2	eflomal
край правого	H8571	hbo:8571	fertility	1.0	16	eflomal;gloss
красивого убранства	H6643	hbo:6643	fertility	1.0	2	gloss
крепкий сон	H8639	hbo:8639	fertility	1.0	2	eflomal
крепких напитков	H7941	hbo:7941	fertility	1.0	2	eflomal
крупным скотом	H1241	hbo:1241	fertility	1.0	2	gloss
лакомыми яствами	H4303	hbo:4303	fertility	1.0	4	eflomal;gloss
лаодикии иераполе	G2993	grc:2993	fertility	1.0	2	eflomal
лахай рои	H0883	hbo:0883	fertility	1.0	2	gloss
лисицы норы	G5454	grc:5454	fertility	1.0	2	eflomal
литый кумир	H4541	hbo:4541	fertility	1.0	12	eflomal;gloss
льняную одежду	H0906	hbo:0906	fertility	1.0	4	eflomal
любодейные дары	H0868	hbo:0868	fertility	1.0	2	eflomal
магер шелал хаш баз	H4122	hbo:4122	fertility	1.0	4	eflomal;gloss
мало помалу	H4592	hbo:4592	fertility	1.0	2	eflomal
мало приметно	H3544	hbo:3544	fertility	1.0	4	eflomal;gloss
масличные сады	H2132	hbo:2132	fertility	1.0	2	eflomal
мелкого скота	H6629	hbo:6629	fertility	1.0	6	eflomal
мерите такою	G3354	grc:3354	fertility	1.0	5	eflomal;gloss
мирных жертв	H8002	hbo:8002	fertility	1.0	2	eflomal
мисрефоф маима	H4956	hbo:4956	fertility	1.0	4	eflomal;gloss
много времени	H7227	hbo:7227	fertility	1.0	3	eflomal
