# source=llm; anchored on the original lemma (Hebrew/Greek), English gloss used only as a hint
# down-payment: high-confidence marquee + key-term gaps (curated via Claude); the
# resumable build_llm_glosses.py run fills the remaining ~10k codes (skips these).
strong	lemma_ref	en_ref	gloss
G5485	χάρις	grace	gracia
G4102	πίστις	faith	fe
G1680	ἐλπίς	hope	esperanza
H0430	אֱלֹהִים	God	Dios
H0433	אֱלוֹהַּ	god	dios
H0426	אֱלָהּ	god	dios
G1242	διαθήκη	covenant	pacto
H2403	חַטָּאָה	sin	pecado
H2398	חָטָא	sin	pecar
G1656	ἔλεος	mercy	misericordia
G1653	ἐλεέω	have mercy	compadecer
G3627	οἰκτείρω	have compassion	compadecer
H5414	נָתַן	give	dar
H3034	יָדָה	give thanks	agradecer
G2097	εὐαγγελίζω	speak good news	evangelizar
H5493	סוּר	turn aside	apartar
H3605	כֹּל	all	todo
H0622	אָסַף	gather	reunir
H0935	בּוֹא	come	venir
H0068	אֶבֶן	stone	piedra
H0069	אֶבֶן	stone	piedra
G3034	λιθάζω	stone	apedrear
G3036	λιθοβολέω	stone	apedrear
H0898	בָּגַד	act treacherously	traicionar
H6817	צָעַק	cry	clamar
H2836	חָשַׁק	desire	desear
H2421	חָיָה	live	vivir
H8199	שָׁפַט	judge	juzgar
H1777	דִּין	judge	juzgar
H1778	דִּין	judge	juzgar
G2919	κρίνω	judge	juzgar
H4910	מָשַׁל	rule	gobernar
H8323	שָׂרַר	rule	gobernar
H4172	מוֹרָא	fear	temor
H3225	יָמִין	right	derecha
H0205	אָוֶן	evil	iniquidad
H1882	דָּת	law	ley
H2764	חֵרֶם	devoted thing	anatema
H3425	יְרֻשָּׁה	possession	heredad
G0001	ἄλφα	Alpha	alfa
G1000	βολή	throwing	tiro
G1001	βολίζω	sound	sondear
G1002		arrow	saeta
G1003	Βόες	Boaz	Booz
G1010	βουλευτής	member of a council	consejero
G1019	βραδύνω	delay	tardar
G1020	βραδυπλοέω	sail slowly	navegar lentamente
G1030	βρυγμός	gnashing	rechinamiento
G1031	βρύχω	gnash	rechinar
G1032	βρύω	pour	brotar
G1037	βυθός	deep	profundidad
G1039	βύσσινος	fine linen	de lino fino
G1040	βύσσος	fine linen	lino fino
G1052	Γαλάτης	Galatian	gálata
G1055	γαλήνη	calm	calma
G0106	ἄζυμος	unleavened	sin levadura
G1061	γαμίζω	give in marriage	desposar
G1073	γέμω	be full	estar lleno
G1074	γενεά	generation	generación
G1075	γενεαλογέω	trace genealogy	trazar genealogía
G1077	γενέσια	birthday	cumpleaños
G1080	γεννάω	beget	engendrar
G1083		birth	nacimiento
G1088	γέρων	old man	anciano
G1090	γεωργέω	farm	labrar
G1096	γίνομαι	be	ser
G1098	γλεῦκος	sweet wine	mosto
G1109	γνώστης	expert in	conocedor
G0111	ἀθέμιτος	unlawful	ilícito
G1110	γνωστός	acquainted with	conocido
G0112	ἄθεος	without God	ateo
G1122	γραμματεύς	scribe	escriba
G1126	γραώδης	old wives’ tale	de vieja
G1127	γρηγορέω	keep watch	velar
G1128	γυμνάζω	train	entrenar
G1129	γυμνασία	training	ejercicio
G1130	γυμνιτεύω	be naked	estar desnudo
G1133	γυναικάριον	weak-willed woman	mujercilla
G1139	δαιμονίζομαι	be demonised	estar endemoniado
G0114	ἀθετέω	reject	rechazar
G1155	δανίζω	lend	prestar
G1157	δανιστής	moneylender	acreedor
G1163	δέω	be necessary	convenir
G1164	δεῖγμα	example	ejemplo
G1165	δειγματίζω	disgrace	avergonzar
G1166	δεικνύω	show	mostrar
G1168	δειλιάω	be timid	temer
G1172	δειπνέω	dine	cenar
G1173	δεῖπνον	dinner	cena
G1174	δεισιδαιμονέστερος	religious	religioso
G1177	δεκαοκτώ	twelve	dieciocho
G1181		tenth	décimo
G1183	δεκατόω	tithe	diezmar
G1190	Δερβαῖος	Derbe	Derbeo
G1196		shackle	encadenar
G1206	δευτεραῖος	next day	segundo
G1207	δεύτερον	second-first	segundo
G1212	δῆλος	Urim	claro
G1213	δηλόω	make clear	aclarar
G0122	αἴγιος	goat's	cabruno
G1221	δηνάριον	whatever	denario
G1223	διά	through	por
G1226	διαβεβαιόομαι	insist	asegurar
G1227	διαβλέπω	see clearly	ver claramente
G1231	διαγινώσκω	decide	decidir
G1232		report	anunciar
G1233	διάγνωσις	decision	decisión
G1235	διαγρηγορέω	wake	despertar
G1237	διαδέχομαι	receive in turn	recibir
G1251	διακούω	give a hearing	escuchar
G1252	διακρίνω	judge	discernir
G1253	διάκρισις	discernment	discernimiento
G1259	διαλλάσσω	be reconciled	reconciliarse
G1260	διαλογίζομαι	discuss	deliberar
G1261	διαλογισμός	reasoning	pensamiento
G1264	διαμάχομαι	contend sharply	contender
G1267	διαμερισμός	division	división
G1268	διανέμω	spread	extender
G1273	διανυκτερεύω	spend the night	velar
G1275	διαπαρατριβή	always	disputa
G1277	διαπλέω	sail across	navegación
G1279	διαπορεύω	go through	tránsito
G1280	διαπορέω	be perplexed	perplejidad
G1282	διαπρίω	be furious	furor
G1290	διασπορά	dispersion	diáspora
G1294	διαστρέφω	pervert	perversión
G1298	διαταράσσω	trouble	turbación
G0130	αἱματεκχυσία	bloodshed	derramamiento
G1302		why?	¿por qué?
G1303	διατίθημι	make a covenant	pacto
G1308	διαφέρω	spread	diferencia
G1309	διαφεύγω	escape	escape
G1310	διαφημίζω	publish abroad	publicidad
G1311	διαφθείρω	destroy	corrupción
G1315	διαχειρίζω	kill	muerte
G1316	διαχωριζω	be separated	separación
G1317	διδακτικός	able to teach	docente
G1323	δίδραχμον	two-drachma	didracma
G1324	Δίδυμος	Twin	mellizo
G1326	διεγείρω	arouse	despertar
G1327	διέξοδος	thoroughfare	encrucijada
G1331	διερωτάω	ascertain	investigación
G1332	διετής	two years old	bienal
G1333	διετία	two years	bienio
G1337	διθάλασσος	sandbar	islote
G1339	διΐστημι	pass	intervalo
G1340	διϊσχυρίζομαι	insist	insistencia
G1341	δικαιοκρισία	justice	justicia
G1344	δικαιόω	justify	justificación
G0135	αἴνιγμα	obscure thing	enigma
