# source=derived from resources/aligned_lex/ben.tsv + strongs_freq.tsv (roadmap R2: function-word stopwords); license=inherits aligned_lex
surface	codes	max_share
অতএব	G1352,G3767,G5620	0.576
অথবা	G1535,G2228	0.608
অধীনে	G5259	0.520
অনুযায়ী	G2596	0.190
অনুসারে	G2596	0.654
অন্তরে	G1722	0.667
অন্যকে	G0240,G0243	0.789
অন্যের	G0240	0.652
অপর	G0243,G4008	0.562
অপরকে	G0240,G1438	0.611
আগে	G4253	0.180
আজ	G4594	0.622
আপনাকে	G4219,G4571,G4671	0.476
আপনাদের	G5209,G5213,G5216	0.323
আপনার	G4571,G4671,G4675	0.303
আপনারা	G5210,G5213	0.324
আপনি	G4771	0.210
আবার	G2532,G3825	0.376
আমরা	G2249	0.118
আমরাও	G2249,G2532	0.467
আমাকে	G3165,G3427	0.367
আমাদের	G2248,G2254,G2257	0.447
আমাদেরকে	G2248,G2254	0.493
আমার	G3450	0.377
আমি	G1473	0.144
আমিই	G1473	0.864
আমিও	G1473,G2504	0.486
আমেন	G0281	0.909
আর	G1161,G2532	0.510
আরও	G2532,G3123	0.183
উপর	G1722,G1909	0.228
উপরে	G1909	0.463
এ	G3588,G3778	0.198
এই	G3588	0.121
একই	G0846	0.400
একইভাবে	G0846,G3668,G3779,G5615	0.385
একে	G0240,G0846	0.521
এখন	G1161,G3568	0.448
এখনও	G2089,G3568,G3768	0.281
এখানে	G5602	0.348
এটা	G5124	0.138
এবং	G2532	0.773
এমনকি	G2532,G3761,G5620	0.306
এরা	G3778	0.354
ঐ	G0846	0.126
ও	G2532	0.802
ওপর	G1519,G1722,G1909	0.214
ওপরে	G1909	0.537
কখনও	G2089,G3756,G3763	0.154
কত	G4214	0.341
কয়েক	G5100	0.558
করো	G3361	0.209
কাছ	G0575,G1537,G3844	0.365
কাছে	G3588,G4314	0.213
কার	G5100,G5101	0.800
কারণ	G1063,G3754	0.459
কারণে	G1223	0.409
কারোর	G3367,G5100	0.409
কাল	G0839,G4219	0.615
কি	G5101	0.230
কিংবা	G2228	0.615
কিন্তু	G0235,G1161	0.470
কিভাবে	G4459	0.510
কিম্বা	G2228	0.765
কীভাবে	G4459,G5101,G5613	0.600
কে	G5101	0.656
কেন	G5101	0.625
কেমন	G4459	0.540
কোথা	G4159	0.952
কোন	G5100	0.142
কোনো	G5100	0.201
