# non-dominant (polysemous) senses needing translation per language; the dominant sense of each (lex,stem) localizes for free via the per-stem gloss
lex	stem	sense	en_gloss	share
<BD/		2	male servants	0.003
<BD/		3	O servants	0.003
<BD/		4	their own	0.001
<BD/		5	male slaves	0.001
<BDH/		2	of servitude	0.09
<BD[	hif	2	he made to labor	0.2
<BD[	hif	3	compel to labor	0.2
<BD[	hif	4	he made to serve	0.2
<BD[	nif	2	he has been served	0.25
<BD[	pual	2	it was labored	0.5
<BD[	qal	2	[those	0.005
<BD[	qal	3	the laborer	0.005
<BH[	qal	2	you have become bloated	0.333
<BJDH/		2	the administration	0.25
<BJDH/		3	the service	0.25
<BR/		2	his own	0.011
<BR=[	hit	2	arrogant	0.125
<BR=[	hit	3	[one	0.125
<BR=[	hit	4	becomes furious	0.125
<BRH=/		2	arrogance	0.059
<BRH=/		3	overflowing	0.029
<BR[	hif	10	you will take over	0.015
<BR[	hif	11	spreading	0.015
<BR[	hif	12	he made to pass away	0.015
<BR[	hif	13	make pass through	0.015
<BR[	hif	14	he has let pass by	0.015
<BR[	hif	15	Q anyone will make pass over	0.015
<BR[	hif	16	he took off	0.015
<BR[	hif	17	I will cause to pass away	0.015
<BR[	hif	18	put away	0.015
<BR[	hif	19	send through	0.015
<BR[	hif	2	they brought over	0.06
<BR[	hif	20	he took away	0.015
<BR[	hif	21	take	0.015
<BR[	hif	3	you will make pass over	0.03
<BR[	hif	4	make	0.03
<BR[	hif	5	bring over	0.03
<BR[	hif	6	he sent over	0.015
<BR[	hif	7	he brought in	0.015
<BR[	hif	8	you will dedicate	0.015
<BR[	hif	9	you will cause to pass through	0.015
<BR[	piel	2	it impregnates	0.5
<BR[	qal	2	I will pass beyond	0.005
<BR[	qal	3	about to pass	0.005
<BR[	qal	4	flowing	0.005
<BR[	qal	5	it passed beyond	0.002
<BR[	qal	6	definitely (pass over)	0.002
<BR[	qal	7	pass along	0.002
<BT/		2	cords	0.263
<BT/		3	of cordage	0.158
<BV[	hif	2	generously (lend)	0.5
<BV[	qal	2	take as pledge	0.5
<CQ[	qal	2	[those	0.032
<CR/		2	than wealth	0.027
<CR[	hif	2	I made rich	0.167
<CR[	hif	3	he will become rich	0.083
<CR[	hif	4	he will gain wealth	0.083
<CR[	qal	2	he will be rich	0.5
<CTJ/		2	belong] to one plus	0.053
<D=/		2	testimony	0.029
<D=/		3	evidence	0.014
<DH===/		2	O Adah	0.125
<DJ/		2	trapping	0.071
<DP[	qal	2	are] in excess	0.375
<DWT/		2	eduth	0.024
<FB/		2	be] like the vegetation	0.029
<FH>L/		2	O Asahel	0.062
<FH[	nif	2	it will be used	0.038
<FH[	qal	10	really (do)	0.001
<FH[	qal	11	carefully (do)	0.001
<FH[	qal	12	squeezed	0.001
<FH[	qal	13	I will carry out	0.001
<FH[	qal	14	about to deal	0.001
<FH[	qal	15	O do	0.001
<FH[	qal	16	people	0.001
<FH[	qal	17	people had made	0.001
<FH[	qal	2	certainly (perform)	0.004
<FH[	qal	3	[those	0.003
<FH[	qal	4	let anyone make	0.002
<FH[	qal	5	when offered	0.001
<FH[	qal	6	was] instituted	0.001
<FH[	qal	7	she will attend to	0.001
<FH[	qal	8	he will use	0.001
<FH[	qal	9	I show	0.001
<FR/		2	teenth	0.005
<FRWN/		2	one tenth	0.03
<FR[	hif	2	receive the tithes	0.5
<FR[	piel	2	receive the tithes	0.25
<GJL/		2	earrings	0.5
<JLM/		2	O Elam	0.036
<JR/		2	O city	0.004
<JR/		3	of Lair	0.002
<JR=/		2	a male donkey	0.286
<JR=/		3	donkeys	0.143
<JR===/		2	rage	0.5
<JRM/		2	nakedness	0.5
<JV/		2	of prey	0.375
<KBR/		2	mouse	0.333
<KR[	nif	2	trouble	0.5
<KR[	qal	2	[those	0.1
<KR[	qal	3	O trouble	0.1
<L		2	against	0.002
<L		3	there-	0.001
<LH/		2	than burnt offerings	0.003
<LH=/		2	leaves	0.278
<LH[	hif	2	about to bring up	0.009
<LH[	hif	3	they made go up	0.005
<LH[	hif	4	they will go up	0.005
<LH[	hif	5	[one	0.005
<LH[	hif	6	stir up	0.005
<LH[	hif	7	people will offer up	0.005
<LH[	hif	8	they have caused to rise	0.005
<LH[	hof	2	it was taken away	0.333
<LH[	hof	3	it was recorded	0.333
<LH[	nif	2	he is exalted	0.125
<LH[	nif	3	they took themselves up	0.062
<LH[	nif	4	it had abandoned pursuit	0.062
<LH[	nif	5	were led up	0.062
<LH[	qal	2	mount	0.003
<LH[	qal	3	spring up	0.002
<LH[	qal	4	about to go up	0.002
<LH[	qal	5	people went up	0.002
<LH[	qal	6	someone will go up	0.002
<LH[	qal	7	it had grown up	0.002
<LH[	qal	8	when came up	0.002
<LJH/		2	the roof-chamber	0.1
<LJWN/		2	O Most High	0.038
<LL[	hit	2	he dealt wantonly	0.25
<LL[	hit	3	I have dealt ruthlessly	0.125
<LL[	hit	4	they abused	0.125
<LL[	hit	5	practice	0.125
<LL[	piel	2	you will glean	0.222
<LL[	piel	3	thoroughly (glean)	0.222
<LL[	piel	4	acting like children	0.111
<LL[	piel	5	deal severely	0.111
<LM/		2	man	0.5
<LMH/		2	young women	0.429
<LMH/		3	a young woman	0.143
<LM[	hif	2	he has hidden	0.2
<LM[	hif	3	concealing	0.1
<LP[	hit	2	they will become faint	0.333
<LP[	pual	2	covered	0.5
<LY[	qal	2	rejoice	0.25
<M		2	than	0.059
<MD[	hif	2	he will raise up	0.031
<MD[	hif	3	fulfill	0.015
<MD[	hif	4	holding upright	0.015
<MD[	hof	2	placed	0.5
<MD[	qal	2	it has stayed	0.007
<MD[	qal	3	he made a stand	0.007
<MD[	qal	4	he will stand firm	0.002
<MD[	qal	5	those who] stood	0.002
<MD[	qal	6	it will remain standing	0.002
<MD[	qal	7	they will stand their ground	0.002
<MD[	qal	8	he will present himself	0.002
<MD[	qal	9	they stand forth	0.002
<MH/		2	exactly as	0.5
<MJR/		2	grain	0.25
<MJT/		2	your fellow citizen	0.167
<ML=/		2	of laborers	0.222
<ML=/		3	a sufferer	0.222
<MQ=/		2	unfathomable	0.059
<MR=/		2	sheaves	0.25
<MS[	qal	2	he loaded	0.286
<MS[	qal	3	[those	0.143
<MS[	qal	4	he carries a load	0.143
<MWD/		2	posts	0.009
<MWS/		2	O Amos	0.286
<NC[	nif	2	he will be fined	0.333
<NC[	qal	2	certainly (fine)	0.2
<NG[	hit	2	was delicate	0.111
<NG[	hit	3	are you making fun	0.111
<NH=[	hit	2	you were afflicted	0.5
<NH=[	nif	2	humble yourself	0.25
<NH=[	piel	2	people afflicted	0.054
<NH=[	piel	3	you will mistreat	0.027
<NH=[	piel	4	they abused	0.027
<NH=[	piel	5	[those	0.027
<NH=[	piel	6	he violates	0.027
<NH=[	piel	7	men have humiliated	0.027
<NH=[	pual	2	it will humble	0.333
<NH=[	qal	2	he will quieten	0.2
<NH=[	qal	3	it cringes	0.2
<NH[	nif	2	let myself give an answer	0.4
<NH[	qal	2	[one	0.008
<NH[	qal	3	will anyone answer	0.004
<NJ/		2	O afflicted	0.045
<NJ=/		2	than affliction	0.028
<NN[	piel	2	he practiced soothsaying	0.3
<PR/		2	of ground	0.018
<QB==/		2	tracked	0.5
<QC/		2	than the perverse	0.182
<QC/		3	twisted	0.091
<QR/		2	a sterile	0.083
<QR/		3	O barren	0.083
<QR[	piel	2	you will hamstring	0.2
<R<R/		2	the destitute person	0.5
<RB/		2	evenings	0.082
<RB=/		2	a swarm of flies	0.222
<RB====/		2	a mixed company	0.2
<RB====/		3	person of mixed ancestry	0.2
<RBH/		2	its desert	0.017
<RBH/		3	clouds	0.017
<RB[	qal	2	stand	0.143
<RB[	qal	3	pledging	0.143
<RB[	qal	4	trade	0.071
<RB[	qal	5	the traders	0.071
<RB[	qal	6	mortgaging	0.071
<RF/		2	sarcophagus	0.2
<RH[	hif	2	he poured out	0.333
<RH[	hit	2	you will make yourself naked	0.5
<RH[	piel	2	pour out	0.333
<RH[	piel	3	it laid bare	0.222
<RJY/		2	ruthless person	0.053
<RK/		2	an order	0.034
<RK[	hif	2	he taxed	0.25
<RK[	qal	2	deploy	0.047
<RK[	qal	3	to compare	0.031
<RK[	qal	4	prepare	0.031
<RK[	qal	5	he drew up in formation	0.031
<RK[	qal	6	is he comparable	0.016
<RMH/		2	cunning	0.4
<RP=[	qal	2	necked	0.25
<RP=[	qal	3	he will break	0.25
<RR[	piel	2	utterly (laid bare)	0.5
<RWH/		2	own nakedness	0.019
<RWM=/		2	crafty	0.273
<SJS/		2	wine	0.2
<SJS/		3	of the juice	0.2
<T/		2	than a time	0.003
<TH		2	than now	0.002
<TJD/		2	impending	0.2
<TJQ/		2	ancient	0.5
<TQ[	hif	2	who] removes	0.2
<TQ[	hif	3	they copied	0.2
<TQ[	qal	2	it has grown weak	0.25
<TQ[	qal	3	do they grow old?	0.25
<TR/		2	worshippers	0.5
<TWD/		2	leaders	0.069
<TWD/		3	male goats	0.034
<VH=[	qal	2	firmly (grasp)	0.333
<VH[	hif	2	you have wrapped	0.5
<VH[	qal	2	wrapped	0.273
<VH[	qal	3	he wraps himself	0.091
<VH[	qal	4	a veiled	0.091
<VP[	qal	2	he turns	0.333
<VWP/		2	enfeebled	0.5
<WD/		2	more	0.002
<WD[	hif	2	I call as witnesses	0.088
<WD[	hif	3	cause to witness	0.088
<WD[	hif	4	certainly (warn)	0.029
<WD[	hif	5	I will call as witness	0.029
<WD[	hif	6	I protested	0.029
<WN/		2	his own	0.009
<WP/		2	than the bird	0.014
<WP[	piel	2	he flew	0.25
<WP[	qal	2	he flew	0.235
<WP[	qal	3	it flies	0.059
<WP[	qal	4	I want to fly away	0.059
<WP[	qal	5	he will fly away	0.059
<WP[	qal	6	it flies away	0.059
<WR=/		2	than the skin	0.01
<WR=[	piel	2	it makes blind	0.4
<WR[	hif	2	he awakens	0.161
<WR[	hif	3	he will stir up	0.129
<WR[	hif	4	about to rouse	0.129
<WR[	hif	5	waken	0.097
<WR[	hif	6	rouse	0.065
<WR[	hif	7	about	0.032
<WR[	hif	8	wake	0.032
<WR[	hif	9	he will awake	0.032
<WR[	hit	2	I excited myself	0.2
<WR[	piel	2	they rouse	0.308
<WR[	piel	3	you will arouse	0.231
<WR[	piel	4	stir	0.154
<WR[	qal	2	a protector	0.05
<WZ[	hif	2	they have brought to safety	0.25
<WZ[	qal	2	he sought safety	0.5
<YB=/		2	pain	0.167
<YB=/		3	your hard	0.167
<YB=/		4	of hurt	0.167
<YB==/		2	of an idol	0.333
<YB[	hit	2	they were indignant	0.5
<YB[	nif	2	he will be hurt	0.143
<YB[	piel	2	they twist	0.5
<YH/		2	than the counsel	0.012
<YH/		3	its own	0.012
<YH=/		2	plan	0.5
<YL/		2	O sluggard	0.143
<YL/		3	lazy	0.071
<YM[	qal	2	they became mighty	0.133
<YM[	qal	3	you have become powerful	0.067
<YM[	qal	4	they are vast	0.067
<YM[	qal	5	it will be mighty	0.067
<YM[	qal	6	he will become mighty	0.067
<YR/		2	barrenness	0.333
<YRH/		2	assembli	0.25
<YR[	nif	2	are shut up	0.2
<YR[	nif	3	detained	0.1
<YR[	qal	2	hold back	0.062
<YR[	qal	3	completely (shut up)	0.031
<YR[	qal	4	let us detain	0.031
<YR[	qal	5	he will rule	0.031
<YR[	qal	6	withheld	0.031
<YR[	qal	7	kept back	0.031
<Z==/		2	she-goats	0.027
<Z==/		3	your female	0.014
<Z==/		4	hair(s)	0.014
<Z==/		5	kids	0.014
<ZB[	nif	2	they will be abandoned	0.222
<ZB[	nif	3	has it been neglected	0.111
<ZB[	pual	2	it has been forsaken	0.5
<ZB[	qal	2	certainly (rearrange)	0.013
<ZB[	qal	3	[those	0.013
<ZB[	qal	4	I will let loose	0.013
<ZRH=/		2	precinct	0.333
<ZR[	qal	2	the [one	0.018
<ZZ[	hif	2	he makes firm	0.5
<ZZ[	qal	2	it is strong	0.143
<ZZ[	qal	3	became strong	0.143
<ZZ[	qal	4	it gives strength	0.143
></		2	a beam	0.333
>B/		2	king	0.002
>B/		3	O	0.001
>B/		4	temple	0.001
>B/		5	greatness	0.001
>B/		6	the records	0.001
>B=/		2	the green shoots	0.5
>BDH/		2	lost	0.25
>BD[	hif	2	about to destroy	0.043
>BD[	hif	3	destroys	0.043
>BD[	piel	2	certainly (destroy)	0.03
>BD[	piel	3	causing to stray	0.03
>BD[	piel	4	count as lost	0.03
>BD[	qal	2	certainly (perish)	0.027
>BD[	qal	3	wandering	0.009
>BD[	qal	4	of about to perish	0.009
>BH[	qal	2	it yielded	0.074
>BJB/		2	young barley ear	0.25
>BJR/		2	O mighty	0.083
>BL===/		2	mourning	0.429
>BL[	hit	2	play the mourner	0.056
>BL[	qal	2	it has dried up	0.267
>BL[	qal	3	it will dry up	0.067
>BN/		2	O stones	0.004
