# LLM pairwise verification (claude-haiku-4-5-20251001) of candidate_pairs.tsv. verdict: yes/no/unsure. See verify_pairs_llm.py.
strong_a	strong_b	verdict
H3925	H3928	yes
H3709	H3710	no
H8388	H8389	no
H0413	H3925	no
H0413	H3928	no
H0571	H5126	no
H0784	H0787	no
H3925	H5126	no
H3925	H5921	no
H3928	H5126	no
H3928	H5921	no
H8034	H8035	no
H8034	H8036	yes
H8035	H8036	no
H0014	H0016	no
H0195	H0196	no
H0195	H3925	no
H0195	H3928	no
H0215	H0723	no
H0253	H0259	no
H0338	H0339	no
H0338	H0374	no
H0339	H0374	no
H0376	H0605	no
H0376	H0784	no
H0376	H0787	no
H0376	H0802	no
H0408	H0413	no
H0408	H3925	no
H0408	H3928	no
H0408	H5921	no
H0410	H3815	unsure
H0413	H3815	no
H0413	H5921	no
H0529	H8034	no
H0529	H8035	no
H0529	H8036	no
H0536	H3925	no
H0536	H3928	no
H0571	H2053	no
H0599	H0639	no
H0599	H5126	no
H0605	H0802	no
H0639	H5126	no
H0739	H0740	yes
H0739	H0741	unsure
H0740	H0741	unsure
H0857	H3925	no
H0857	H3928	no
H0909	H0910	yes
H2053	H5126	no
H3815	H3925	no
H3815	H3928	no
H5126	H7389	no
H5126	H8034	no
H5126	H8035	no
H5126	H8036	no
H0001	H0014	no
H0001	H0015	no
H0001	H0016	no
H0001	H0017	no
H0001	H0021	yes
H0001	H0035	no
H0001	H0340	no
H0001	H0341	no
H0001	H0342	no
H0001	H3925	no
H0001	H3928	no
H0004	H0014	no
H0004	H0016	no
H0004	H0024	no
H0004	H5126	no
H0006	H0008	yes
H0006	H0009	yes
H0006	H0011	yes
H0006	H0214	no
H0006	H0686	no
H0006	H5126	no
H0008	H0009	no
H0008	H0011	yes
H0008	H5126	no
H0009	H0011	no
H0009	H5126	no
H0011	H5126	no
H0014	H0015	no
H0014	H0017	no
H0014	H0021	no
H0014	H0024	no
H0014	H0035	yes
H0014	H0340	no
H0014	H0341	no
H0014	H0342	no
H0014	H3925	no
H0014	H3928	no
H0014	H5126	no
H0015	H0016	no
H0015	H0017	no
H0015	H0021	no
H0015	H0035	no
H0015	H0340	no
H0015	H0341	no
H0015	H0342	no
H0015	H3925	no
H0015	H3928	no
H0016	H0017	no
H0016	H0021	no
H0016	H0024	no
H0016	H0035	no
H0016	H0340	no
H0016	H0341	no
H0016	H0342	no
H0016	H3925	no
H0016	H3928	no
H0016	H5126	no
H0017	H0021	no
H0017	H0035	no
H0017	H0340	no
H0017	H0341	no
H0017	H0342	no
H0017	H3925	no
H0017	H3928	no
H0018	H0075	no
H0018	H0215	no
H0018	H0330	no
H0018	H0410	no
H0018	H0413	no
H0018	H0529	no
H0018	H0723	yes
H0018	H0738	no
H0018	H0739	no
H0018	H0740	no
H0018	H0741	no
H0018	H3815	no
H0018	H3925	no
H0018	H3928	no
H0018	H8034	no
H0018	H8035	no
H0018	H8036	no
H0019	H2880	no
H0021	H0035	no
H0021	H0340	no
H0021	H0341	no
H0021	H0342	no
H0021	H3925	no
H0021	H3928	no
H0024	H5126	no
H0035	H0340	no
H0035	H0341	no
H0035	H0342	no
H0035	H3925	no
H0035	H3928	no
H0046	H0047	yes
H0046	H0082	no
H0046	H0083	no
H0046	H0084	no
H0046	H1305	no
H0046	H3527	no
H0046	H3529	no
H0046	H3709	no
H0046	H3710	no
H0047	H0082	no
H0047	H0083	no
H0047	H0084	no
H0047	H1305	no
H0047	H3527	no
H0047	H3529	no
H0047	H3709	no
H0047	H3710	no
H0056	H0057	yes
H0056	H0059	no
H0056	H0060	yes
H0056	H0061	no
H0056	H0064	no
H0056	H0065	no
H0056	H0067	no
H0056	H0180	no
H0056	H0195	no
H0056	H0196	no
H0056	H0536	no
H0056	H0537	no
H0056	H3105	no
H0056	H3925	no
H0056	H3928	no
H0056	H5126	no
H0057	H0059	no
H0057	H0060	yes
H0057	H0061	no
H0057	H0064	no
H0057	H0065	no
H0057	H0067	no
H0057	H0180	no
H0057	H0195	no
H0057	H0196	no
H0057	H0536	no
H0057	H0537	no
H0057	H3105	no
H0057	H3925	no
H0057	H3928	no
H0057	H5126	no
H0059	H0060	no
H0059	H0061	no
H0059	H0064	no
H0059	H0065	no
H0059	H0067	no
H0059	H0180	no
H0059	H0195	no
H0059	H0196	no
H0059	H0536	no
H0059	H0537	no
H0059	H3105	no
H0059	H3925	no
H0059	H3928	no
H0059	H5126	no
H0060	H0061	no
H0060	H0064	no
H0060	H0065	no
H0060	H0067	no
H0060	H0180	no
H0060	H0195	no
H0060	H0196	no
H0060	H0536	no
H0060	H0537	no
H0060	H3105	no
H0060	H3925	no
H0060	H3928	no
H0060	H5126	no
H0061	H0064	no
H0061	H0065	no
H0061	H0067	no
H0061	H0180	no
H0061	H0195	no
H0061	H0196	no
H0061	H0536	no
H0061	H0537	no
H0061	H3105	no
H0061	H3925	no
H0061	H3928	no
H0061	H5126	no
H0064	H0065	no
H0064	H0067	no
H0064	H0180	no
H0064	H0195	no
H0064	H0196	no
H0064	H0536	no
H0064	H0537	no
H0064	H3105	no
H0064	H3925	no
H0064	H3928	no
H0064	H5126	no
H0065	H0067	no
H0065	H0180	no
