# source=derived from resources/aligned_lex/asm.tsv + strongs_freq.tsv (roadmap R2: function-word stopwords); license=inherits aligned_lex
surface	codes	max_share
অথবা	G1161,G2228,G2257,G2532	0.700
অধীন	G5259	0.714
অধীনত	G1722,G5259	0.364
অনুসাৰে	G2596	0.657
অন্তৰত	G1722	0.432
অর্থে	G1519,G1909,G3588,G4012	0.300
অাপোনালোকৰ	G5213,G5216	0.667
অৰ্থাৎ	G2532,G3588	0.158
অৰ্থে	G1519,G5228	0.538
আকৌ	G3825	0.726
আগত	G1799,G3588	0.119
আছোঁ	G3588	0.113
আজি	G4594	0.794
আপুনি	G4771	0.214
আপোনাক	G4571,G4671	0.579
আপোনালোক	G5210,G5213,G5216	0.148
আপোনালোকক	G5209,G5213	0.423
আপোনালোকলৈ	G5209,G5213	0.660
আপোনালোকে	G5209,G5210,G5216	0.121
আপোনালোকেও	G2532,G5210	0.400
আপোনালোকৰ	G5209,G5213,G5216	0.408
আপোনাৰ	G4571,G4671,G4675	0.479
আমাক	G2248,G2254	0.467
আমালৈ	G2254	0.833
আমাৰ	G2254,G2257	0.528
আমি	G2249	0.154
আমিও	G2249	0.579
আমেন	G0281	0.842
আৰু	G2532	0.825
ইজনে	G0240,G1438	0.805
ইয়াক	G0846,G3588	0.194
ইয়াত	G5602	0.656
ইয়াৰ	G1161,G2532	0.190
এই	G3588	0.183
এইদৰে	G2532,G3779	0.216
এওঁ	G3588,G3778	0.357
এওঁক	G0846	0.583
একে	G0846,G3588	0.385
এতিয়া	G3568,G3588	0.291
এতিয়াও	G2089,G3568,G3768	0.175
এতিয়ালৈকে	G0891,G2193,G3768	0.500
এতিয়াৰ	G0737,G3568,G3588	0.278
এতেকে	G3767	0.621
এনেতে	G2532,G3588,G3767	0.400
এনেদৰে	G1161,G2532	0.170
এবাৰ	G0530	0.478
এশ	G1540,G1542	0.500
ওচৰত	G3588,G4314	0.113
ওপৰত	G1909	0.436
কাষত	G3844	0.647
কাৰ	G5101	0.950
কাৰণ	G1063,G3754	0.411
কাৰণে	G1223	0.133
কি	G5101	0.678
কিছুমান	G0243,G3739,G5100	0.222
কিন্তু	G0235,G1161	0.507
কিবা	G5100	0.667
কিমান	G2193,G4214	0.342
কিয়	G5101	0.708
কিয়নো	G1063,G3754	0.556
কেতিয়া	G4219,G5101	0.900
কেতিয়াও	G3763	0.167
কেনে	G4214,G4217,G4459	0.250
কেনেকৈ	G4459	0.800
কোন	G5101	0.768
কোনে	G5101	0.796
কোনো	G5100	0.288
কোনোবাই	G3588,G5100	0.433
কোনোৱে	G3588,G3739,G5100	0.325
গতিকে	G1352,G3767	0.290
চল্লিশ	G5062	0.812
চুবুৰীয়াক	G3588,G4139	0.900
জন	G3588	0.363
জনক	G0846,G3588,G3739	0.220
জনে	G3588	0.533
জনৰ	G3588,G3739	0.262
ঠিক	G3588,G3779	0.214
তথাপি	G0235,G1161,G2532	0.211
তলত	G5259,G5270	0.385
তাইৰ	G0846	0.718
তাক	G0846,G3588	0.389
তাত	G1563,G2532	0.125
তাতে	G1161,G2532	0.415
তালৈ	G1563,G3739,G4314	0.119
তাৰ	G0846,G2532,G3588	0.211
তুমি	G4675,G4771	0.208
তুমিও	G2532,G4771	0.400
তেওঁ	G0846,G3588	0.169
তেওঁক	G0846	0.734
তেওঁত	G0846,G1722	0.682
তেওঁলৈ	G0846	0.667
তেওঁলোক	G0846,G3588	0.137
তেওঁলোকে	G0846,G3588	0.171
তেওঁলোকৰ	G0846,G3588	0.565
তেওঁৰ	G0846,G3588	0.675
তেখেত	G0846,G3588	0.136
তেতিয়া	G1161,G2532,G3588	0.261
তেতিয়াহে	G2443,G2532,G3704,G5119	0.444
তেনেকৈ	G2531,G2532,G3588,G3779,G5613	0.225
তেনেহলে	G2532,G3588	0.158
তেৱেঁই	G0846,G3588,G3739	0.262
তেৱোঁ	G0846	0.333
তোমাক	G4571,G4671	0.458
তোমালোক	G5210	0.195
তোমালোকক	G5209,G5213	0.615
তোমালোকলৈ	G5213	0.833
তোমালোকে	G5210	0.120
তোমালোকৰ	G5213,G5216	0.446
তোমাৰ	G4671,G4675	0.644
থকা	G1722,G3588	0.226
দুই	G1417	0.621
দুজন	G1417	0.685
দুটা	G1417	0.750
দৃষ্টিত	G1799,G3844	0.364
দ্বাৰা	G1223,G1722	0.224
দ্বাৰাই	G1223,G1722	0.408
দ্ৱাৰাই	G1223,G2596,G3588	0.312
দৰে	G2596,G5613	0.367
নকৰা	G2193,G3361,G3756	0.389
নকৰি	G3361,G3367,G3756	0.448
নকৰিব	G3361,G3756	0.528
নকৰিবা	G3361,G3756	0.729
নকৰিলা	G3756,G3761	0.800
নকৰিলে	G3361,G3756	0.640
নকৰে	G3361,G3756	0.466
নকৰোঁ	G3361,G3756	0.500
নহওঁ	G3756	0.646
নহওক	G3361,G3756	0.485
নহব	G3361,G3756	0.438
নহয়	G3361,G3756	0.515
নহ’ব	G3361,G3756	0.333
নহ’ল	G3756	0.739
নাই	G3361,G3756	0.578
নাইবা	G2228	0.514
নাই৷	G3361,G3756	0.520
নাছিল	G3756	0.432
নাপাবা	G3361,G3756,G3765	0.545
নাপায়	G3361,G3756	0.579
নাপালে	G3756	0.594
নালাগে	G3361,G3366,G3756	0.500
নিচিনাকৈ	G5613	0.787
নিজ	G0846,G2398,G3588	0.246
নিজক	G1438	0.440
নিজকে	G1438,G4572	0.464
নিজে	G0846,G1438	0.285
নিজেও	G0846,G2532,G5210	0.350
নিজৰ	G0846,G1438	0.338
নিদিব	G3361,G3756	0.538
নিদিবা	G3361,G3367,G3588	0.417
নে	G2228,G3756	0.123
নেকি	G3361,G3588	0.300
নোৱাৰে	G3361,G3756	0.443
পাছত	G1161,G2532	0.386
পুণৰ	G2532,G3825	0.250
পুনৰ	G3825	0.259
প্ৰতি	G1519,G4314	0.205
পৰস্পৰে	G0240	0.667
পৰা	G0575,G1537	0.338
পৰাই	G0575,G1537	0.355
পৰাও	G0575,G1537	0.571
ফালে	G1519,G1909,G4314	0.208
বা	G2228	0.407
বাহিৰত	G1854,G1855	0.619
বাহিৰে	G1487	0.368
বাৰ	G1427	0.526
বিপক্ষে	G1909,G2596	0.471
বিশেষকৈ	G3122	0.667
বিষয়ে	G3588,G4012	0.280
বিৰুদ্ধে	G1909,G2596	0.304
বুলি	G3754	0.155
বেলেগ	G0243,G5620	0.750
বৰং	G0235	0.600
ভিতৰত	G1519,G1722	0.380
মই	G1473	0.173
ময়ো	G2504	0.600
মাজত	G1722	0.369
মাজৰ	G1537	0.416
মোক	G3165,G3427	0.471
মোত	G1691,G1698	0.500
মোলৈ	G3427	0.652
মোৰ	G1473,G3450	0.451
মোৰে	G1473	0.769
যদি	G1437,G1487	0.471
যদিও	G1437,G1487	0.238
যাতে	G2443	0.592
যাৰ	G3588,G3739	0.333
যি	G3588,G3739	0.389
যে	G3754	0.480
যেতিয়া	G1161,G3588,G3752,G3753	0.199
যেন	G2443	0.429
যেনে	G2531,G5613	0.348
যেনেকৈ	G2531,G5613,G5618	0.391
যোগেদি	G1223,G1722	0.600
লগত	G3326,G4862	0.282
লোকে	G3588	0.126
সঁচাকৈ	G0281	0.706
সঁচাকৈয়ে	G0230,G0281	0.667
সকললৈ	G1909,G3588	0.250
সকলে	G3588	0.219
সকলৰ	G3588	0.235
সন্তাপ	G3759	1.000
