# multi-word expressions (M1): target phrase -> original lexeme(s); lang=ben; from bcv-commons/lexeme-alignments; content+same-testament, count>=2. CC0
surface	strongs	lexemes	kind	confidence	count	methods
অকরণের পগীযেল	H6295	hbo:6295	fertility	1.0	4	eflomal
অতবকছেদ অবসথায	G0203	grc:203	fertility	1.0	2	eflomal
অদনডিত থাকবে	H5352	hbo:5352	fertility	1.0	3	eflomal
অদোনী বেষক	H0137	hbo:0137	fertility	1.0	2	eflomal
অদোনী ষেদক	H0139	hbo:0139	fertility	1.0	2	eflomal
অনতর পা	H3767	hbo:3767	fertility	1.0	2	eflomal
অনতরের জবালা	H7065	hbo:7065	fertility	1.0	3	eflomal
অননত পেতে	G0166	grc:166	fertility	1.0	3	eflomal
অননতকাল সথাযী	H5769	hbo:5769	fertility	1.0	6	eflomal
অনযানয অবশিষট	H3499	hbo:3499	fertility	1.0	2	eflomal
অনুগমনে বযভিচার	H2181	hbo:2181	fertility	1.0	3	eflomal
অনুগরহ থাকি	H2580	hbo:2580	fertility	1.0	8	eflomal
অনুগরহ দান	G5486	grc:5486	fertility	1.0	12	eflomal
অনুগরহের বলতেন	G5485	grc:5485	fertility	1.0	2	eflomal
অনুসরণকারী হযেছি	G0190	grc:190	fertility	1.0	2	eflomal
অনেক অনেক	H7227	hbo:7227	fertility	1.0	3	eflomal
অপরাধের বলি	H0817	hbo:0817	fertility	1.0	4	eflomal
অপরাধের বলির	H0817	hbo:0817	fertility	1.0	5	eflomal
অপেকষা করছি	G0553	grc:553	fertility	1.0	2	eflomal
অপেকষা করছিল	G4328	grc:4328	fertility	1.0	3	eflomal
অপেকষায থাকব	G4328	grc:4328	fertility	1.0	3	eflomal
অবশযই হবে	G1163	grc:1163	fertility	1.0	3	eflomal
অবশিষট কাজের	H3499	hbo:3499	fertility	1.0	6	eflomal
অবশিষট রাখলেন	H7604	hbo:7604	fertility	1.0	3	eflomal
অবশিষট রাখি	H7604	hbo:7604	fertility	1.0	2	eflomal
অবসথিত মরীবৎ	H4809	hbo:4809	fertility	1.0	2	eflomal
অবিশবসত লোকেরা	G3428	grc:3428	fertility	1.0	2	eflomal
অবিশবসততার পরচার	H5627	hbo:5627a	fertility	1.0	2	eflomal
অবীদ ইলদাযা	H0420	hbo:0420	fertility	1.0	2	eflomal
অভিজঞতাও কম	H7390	hbo:7390	fertility	1.0	2	eflomal
অভিষিকত বযকতিকে	H4899	hbo:4899	fertility	1.0	2	eflomal
অভিষিকত বযকতির	H4899	hbo:4899	fertility	1.0	5	eflomal
অভিষেক লোকের	H4899	hbo:4899	fertility	1.0	3	eflomal
