lex	stem	sense	gloss	count	share
<B/		1	cloud, cloud-mass	30	1.0
<B==/		1	thicket	1	1.0
<BC[	qal	1	shrivel	1	1.0
<BD/		1	slave, servant	785	0.992
<BD/		2	male servants	2	0.003
<BD/		3	O servants	2	0.003
<BD/		4	their own	1	0.001
<BD/		5	male slaves	1	0.001
<BD=/		1	work	1	1.0
<BD>/		1	Abda	2	1.0
<BD>L/		1	Abdeel	1	1.0
<BDH/		1	work, service	132	0.91
<BDH/		2	of servitude	13	0.09
<BDH=/		1	slaves (collective)	2	1.0
<BDJ/		1	Abdi	3	1.0
<BDJ>L/		1	Abdiel	1	1.0
<BDJH/		1	Obadiah	11	1.0
<BDWN/		1	Abdon	6	1.0
<BDWN=/		1	Abdon	2	1.0
<BD[	hif	1	let work, serve	2	0.4
<BD[	hif	2	he made to labor	1	0.2
<BD[	hif	3	compel to labor	1	0.2
<BD[	hif	4	he made to serve	1	0.2
<BD[	nif	1	be cultivated	3	0.75
<BD[	nif	2	he has been served	1	0.25
<BD[	pual	1	it is worked with	1	0.5
<BD[	pual	2	it was labored	1	0.5
<BD[	qal	1	serve	208	0.99
<BD[	qal	2	[those	1	0.005
<BD[	qal	3	the laborer	1	0.005
<BD_>DWM/		1	Obed-Edom	9	1.0
<BD_MLK/		1	Ebed-Melech	6	1.0
<BD_NGW/		1	Abednego	1	1.0
<BH[	qal	1	be thick	2	0.667
<BH[	qal	2	you have become bloated	1	0.333
<BJ/		1	thickness	5	1.0
<BJDH/		1	work; administration	2	0.5
<BJDH/		2	the administration	1	0.25
<BJDH/		3	the service	1	0.25
<BR/		1	side, region; opposite side; beyond	89	0.989
<BR/		2	his own	1	0.011
<BR=[	hit	1	become furious	5	0.625
<BR=[	hit	2	arrogant	1	0.125
<BR=[	hit	3	[one	1	0.125
<BR=[	hit	4	becomes furious	1	0.125
<BRH/		1	ford	1	1.0
<BRH=/		1	arrogance	31	0.912
<BRH=/		2	arrogance	2	0.059
<BRH=/		3	overflowing	1	0.029
<BRJ/		1	Hebrew	27	1.0
<BRJM/		1	Abarim	5	1.0
<BRN/		1	Abdon	1	1.0
<BRNH/		1	Abronah	2	1.0
<BR[	hif	1	cause to pass, let pass by; sacrifice; remove	41	0.612
<BR[	hif	2	they brought over	4	0.06
<BR[	hif	3	you will make pass over	2	0.03
<BR[	hif	4	make	2	0.03
<BR[	hif	5	bring over	2	0.03
<BR[	hif	6	he sent over	1	0.015
<BR[	hif	7	he brought in	1	0.015
<BR[	hif	8	you will dedicate	1	0.015
<BR[	hif	9	you will cause to pass through	1	0.015
<BR[	hif	10	you will take over	1	0.015
<BR[	hif	11	spreading	1	0.015
<BR[	hif	12	he made to pass away	1	0.015
<BR[	hif	13	make pass through	1	0.015
<BR[	hif	14	he has let pass by	1	0.015
<BR[	hif	15	Q anyone will make pass over	1	0.015
<BR[	hif	16	he took off	1	0.015
<BR[	hif	17	I will cause to pass away	1	0.015
<BR[	hif	18	put away	1	0.015
<BR[	hif	19	send through	1	0.015
<BR[	hif	20	he took away	1	0.015
<BR[	hif	21	take	1	0.015
<BR[	nif	1	be crossed	1	1.0
<BR[	piel	1	impregnate; make to pass across?	1	0.5
<BR[	piel	2	it impregnates	1	0.5
<BR[	qal	1	pass over, transgress	435	0.98
<BR[	qal	2	I will pass beyond	2	0.005
<BR[	qal	3	about to pass	2	0.005
<BR[	qal	4	flowing	2	0.005
<BR[	qal	5	it passed beyond	1	0.002
<BR[	qal	6	definitely (pass over)	1	0.002
<BR[	qal	7	pass along	1	0.002
<BT/		1	rope, cord	11	0.579
<BT/		2	cords	5	0.263
<BT/		3	of cordage	3	0.158
<BVJV/		1	debt	1	1.0
<BV[	hif	1	lend on pledge	1	0.5
<BV[	hif	2	generously (lend)	1	0.5
<BV[	qal	1	borrow; take a pledge	1	0.5
<BV[	qal	2	take as pledge	1	0.5
<BWR/		1	on account of, for the sake of; in order that	8	1.0
<BWR=/		1	produce	2	1.0
<BWT/		1	branchy	4	1.0
<BWV/		1	pledge	4	1.0
<C/		1	moth	6	1.0
<C=/		1	pus	1	1.0
<C==/		1	lioness (constellation)	1	1.0
<CC[	qal	1	become weak?; waste away?	3	1.0
<CJR/		1	wealthy, rich	21	1.0
<CN/		1	smoke	25	1.0
<CN=/		1	smoking	2	1.0
<CQ/		1	oppression, extortion	15	1.0
<CQ=/		1	Eshek	1	1.0
<CQH/		1	oppression, extortion	1	1.0
<CQ[	pual	1	be wronged	1	1.0
<CQ[	qal	1	oppress, wrong, extort	30	0.968
<CQ[	qal	2	[those	1	0.032
<CR/		1	riches	36	0.973
<CR/		2	than wealth	1	0.027
<CR[	hif	1	make someone rich	8	0.667
<CR[	hif	2	I made rich	2	0.167
<CR[	hif	3	he will become rich	1	0.083
<CR[	hif	4	he will gain wealth	1	0.083
<CR[	hit	1	pretend to be rich	1	1.0
<CR[	qal	1	be rich, become rich	1	0.5
<CR[	qal	2	he will be rich	1	0.5
<CT/		1	plate	1	1.0
<CTJ/		1	eleven; eleventh	18	0.947
<CTJ/		2	belong] to one plus	1	0.053
<CTRT/		1	the Ashtoreth	6	1.0
<CTRT=/		1	ewes of your flock	4	1.0
<CTRT==/		1	Ashtoreth	3	1.0
<CTRTJ/		1	Ashterathite	1	1.0
<CTRT_QRNJM/		1	Ashteroth Karnaim	1	1.0
<CTRWT/		1	Ashtaroth	6	1.0
<CTWT/		1	thought	1	1.0
<CWT=/		1	Ashvath	1	1.0
<D		1	to (prep), unto, as far as (spacial); until, while (temporal)	709	1.0
<D/		1	future; eternity, always	4	1.0
<D<DH/		1	Adadah	1	1.0
<D=/		1	witness; testimony	66	0.957
<D=/		2	testimony	2	0.029
<D=/		3	evidence	1	0.014
<DCH/		1	lentil	4	1.0
<DH/		1	gathering, congregation	1	1.0
<DH=/		1	witness; testimony	4	1.0
<DH===/		1	Adah	7	0.875
<DH===/		2	O Adah	1	0.125
<DJ/		1	ornaments	13	0.929
<DJ/		2	trapping	1	0.071
<DJ>L/		1	Adiel	3	1.0
<DJH/		1	Adaiah	8	1.0
<DJN=/		1	Adin	4	1.0
<DJN>/		1	Adina	1	1.0
<DJTJM/		1	Adithaim	1	1.0
<DLJ/		1	Adlai	1	1.0
<DLM/		1	Adullam	8	1.0
<DLMJ/		1	Adullamite	3	1.0
<DN		1	hitherto; still	1	1.0
<DN=/		1	Eden	14	1.0
<DN==/		1	Eden	2	1.0
<DN===/		1	Eden	3	1.0
<DN>/		1	Adna	2	1.0
<DNH/		1	lust, sexual delight	1	1.0
<DNH=/		1	Adnah	1	1.0
<DP[	hif	1	have a surplus	1	1.0
<DP[	qal	1	remain	5	0.625
<DP[	qal	2	are] in excess	3	0.375
<DR/		1	flock, herd	38	1.0
<DR===/		1	Eder	1	1.0
<DRJ>L/		1	Adriel	2	1.0
<DW/		1	Iddo	4	1.0
<DWT/		1	warning sign, reminder; percept, commandment	81	0.976
<DWT/		2	eduth	2	0.024
<FB/		1	green plants, herbs (collective)	33	0.971
<FB/		2	be] like the vegetation	1	0.029
<FH>L/		1	Asahel	15	0.938
<FH>L/		2	O Asahel	1	0.062
<FH[	nif	1	be made, done	25	0.962
<FH[	nif	2	it will be used	1	0.038
<FH[	piel	1	press, squeeze	2	1.0
<FH[	pual	1	be made	1	1.0
<FH[	qal	1	do, make	1019	0.979
<FH[	qal	2	certainly (perform)	4	0.004
<FH[	qal	3	[those	3	0.003
<FH[	qal	4	let anyone make	2	0.002
<FH[	qal	5	when offered	1	0.001
<FH[	qal	6	was] instituted	1	0.001
<FH[	qal	7	she will attend to	1	0.001
<FH[	qal	8	he will use	1	0.001
<FH[	qal	9	I show	1	0.001
<FH[	qal	10	really (do)	1	0.001
<FH[	qal	11	carefully (do)	1	0.001
<FH[	qal	12	squeezed	1	0.001
<FH[	qal	13	I will carry out	1	0.001
<FH[	qal	14	about to deal	1	0.001
<FH[	qal	15	O do	1	0.001
<FH[	qal	16	people	1	0.001
<FH[	qal	17	people had made	1	0.001
<FJ>L/		1	Asiel	1	1.0
<FJH/		1	Asaiah	8	1.0
<FJRJ/		1	tenth (ord); one-tenth (fract)	26	1.0
<FQ/		1	Esek	1	1.0
<FR/		1	ten	202	0.995
<FR/		2	teenth	1	0.005
<FR=/		1	ten; group of ten	56	1.0
<FRH/		1	ten	134	1.0
<FRH=/		1	(group of) ten, decade	120	1.0
<FRJM/		1	twenty; twentieth	314	1.0
<FRJN/		1	twenty	1	1.0
<FRWN/		1	tenth part	32	0.97
<FRWN/		2	one tenth	1	0.03
<FR[	hif	1	receive, give a tenth	1	0.5
<FR[	hif	2	receive the tithes	1	0.5
<FR[	piel	1	receive, give a tenth of	3	0.75
<FR[	piel	2	receive the tithes	1	0.25
<FR[	qal	1	take tenth of, tithe	2	1.0
<FW/		1	Esau	97	1.0
<FWR/		1	(group of) ten	16	1.0
<GBH/		1	lust	1	1.0
<GH/		1	cake, flatbread	7	1.0
<GJL/		1	ear-ring	1	0.5
<GJL/		2	earrings	1	0.5
<GL/		1	(bull-) calf	35	1.0
<GL=/		1	round	6	1.0
<GLH/		1	heifer	12	1.0
<GLH=/		1	wagon, cart, chariot	25	1.0
<GLWN/		1	Eglon	7	1.0
<GLWN=/		1	Eglon	5	1.0
<GM[	qal	1	be grieved for	1	1.0
<GN[	nif	1	shut oneself off	1	1.0
<GWR/		1	(bird)	2	1.0
<J/		1	heap of ruins	5	1.0
<J=/		1	Ai	38	1.0
<JBL/		1	Ebal	5	1.0
<JBL=/		1	Ebal	3	1.0
<JC/		1	lioness (constellation)	1	1.0
<JJM/		1	Iyim	2	1.0
<JJ_H<BRJM/		1	Iye Abarim	2	1.0
<JLJ/		1	Ilai	1	1.0
<JLM/		1	Elam	27	0.964
<JLM/		2	O Elam	1	0.036
<JN/		1	eye; fountain	884	1.0
<JNJM/		1	Enaim	2	1.0
<JNM/		1	Enam	1	1.0
<JNN/		1	Enan	5	1.0
<JN_<GLJM/		1	En Eglaim	1	1.0
<JN_CMC/		1	En Shemesh	1	1.0
<JN_GDJ/		1	En Gedi	3	1.0
<JN_GNJM/		1	En Gannim	3	1.0
<JN_MCPV/		1	En Mishpat	1	1.0
<JN_RGL/		1	En Rogel	4	1.0
<JN_RMWN/		1	En Rimmon	1	1.0
<JN_XDH/		1	En Haddah	1	1.0
<JN_XRD/		1	the spring of Harod	1	1.0
<JN_XYWR/		1	En Hazor	1	1.0
<JP/		1	faint, weary	17	1.0
<JPH=/		1	Ephah	4	1.0
<JPH==/		1	Ephah	1	1.0
<JR/		1	city	1075	0.994
<JR/		2	O city	4	0.004
<JR/		3	of Lair	2	0.002
<JR=/		1	male ass	4	0.571
<JR=/		2	a male donkey	2	0.286
<JR=/		3	donkeys	1	0.143
<JR===/		1	agitation	1	0.5
<JR===/		2	rage	1	0.5
<JR>/		1	Ira	6	1.0
<JRD/		1	Irad	2	1.0
<JRJ/		1	Iri	1	1.0
<JRM/		1	naked; nakedness	5	0.5
<JRM/		2	nakedness	5	0.5
<JRM=/		1	Iram	2	1.0
<JRW/		1	Iru	1	1.0
<JR_NXC/		1	Ir Nahash	1	1.0
<JV/		1	(bird of prey)	5	0.625
<JV/		2	of prey	3	0.375
<JVM/		1	Etam	5	1.0
<JWN/		1	Ijon	3	1.0
<KBJC/		1	spider	2	1.0
<KBR/		1	mouse	4	0.667
<KBR/		2	mouse	2	0.333
<KBWR/		1	Acbor	7	1.0
<KCWB/		1	viper?	1	1.0
<KN/		1	Achan	6	1.0
<KR/		1	Achar	1	1.0
<KRN/		1	Ocran	5	1.0
<KR[	nif	1	become tabu?; be stirred up?	1	0.5
<KR[	nif	2	trouble	1	0.5
<KR[	qal	1	make trouble; make taboo	8	0.8
