lex,default
Αἰγύπτιος,埃及人的;埃及的
Αἰθίοψ,《和2010》埃塞俄比亚人;《现》衣索匹亚人;《和》埃提阿伯人;《思》厄提约丕雅人
Αἰνέας,以尼雅;《思》艾乃阿
Αἰνών,哀嫩;《思》艾农
Αἴγυπτος,埃及
Αὐγοῦστος,奥古斯都;《和》亚古士督
Βάαλ,巴力;《思》巴耳
Βέροια,庇哩亚;《思》贝洛雅
Βαβυλών,巴比伦
Βαλάκ,巴勒;《思》巴拉克
Βαλαάμ,巴兰;《思》巴郎
Βαράκ,巴拉;《思》巴辣克
Βαραββᾶς,巴拉巴;《思》巴辣巴
Βαραχίας,《和2010》《和》巴拉加;《现》比利加;《思》贝勒基雅
Βαρθολομαῖος,巴多罗买;《思》巴尔多禄茂
Βαριησοῦς,巴耶稣;《思》巴尔耶稣
Βαριωνᾶ,约翰的儿子;《和》巴约拿;《思》约纳的儿子
Βαρναβᾶς,巴拿巴;《思》巴尔纳伯
Βαρσαββᾶς,巴撒巴;《思》巴尔撒巴
Βαρτιμαῖος,巴底买;《思》巴尔提买
Βεελζεβούλ,别西卜;《思》贝耳则步
Βελιάρ,《和》彼列;《现》魔鬼;《思》贝里雅耳
Βενιαμίν,便雅悯;《思》本雅明
Βερνίκη,《和2010》百妮基;《和》百尼基;《现》贝妮丝;《思》贝勒尼切
Βεροιαῖος,"庇哩亚人,《思》贝洛雅人"
Βηθανία,伯大尼;《思》伯达尼
Βηθζαθά,毕士大;《思》贝特匝达
Βηθλέεμ,伯利恒;《思》白冷
Βηθσαϊδά,伯赛大;《思》贝特赛达
Βηθφαγή,伯法其;《思》贝特法革
Βιθυνία,庇推尼;《思》彼提尼雅
Βλάστος,伯拉斯都;《思》布拉斯托
Βοανηργές,半尼其;《思》波纳尔革
Βοσόρ,(音译)伯索耳
Γάδ,迦得;《思》加得
Γάζα,迦萨;《思》迦萨
Γάϊος,该犹;《思》加约
Γαββαθά,《和2010》《和》厄巴大;《现》加巴大;《思》加巴达
Γαβριήλ,加百列;《思》加俾额尔
Γαδαρηνός,加大拉人;《思》加达辣人
Γαλάτης,加拉太人;《思》迦拉达人
Γαλατία,加拉太;《思》迦拉达
Γαλατικός,加拉太;《思》迦拉达
Γαλιλαία,加利利;《思》加里肋亚
Γαλιλαῖος,加利利人;《思》加里肋亚人
Γαλλίων,迦流;《思》加里雍
Γαμαλιήλ,迦玛列;《思》加玛里耳
Γεδεών,基甸;《思》基德红
Γεθσημανί,客西马尼;《思》革责玛尼
Γεννησαρέτ,革尼撒勒;《思》革乃撒勒
Γερασηνός,格拉森人;《思》革辣撒人
Γολγοθᾶ,各各他;《思》哥耳哥达
Γόμορρα,蛾摩拉;《思》哈摩辣
Γώγ,歌革;《思》哥格
Δάμαρις,大马哩;《思》达玛黎
Δέρβη,特庇;《思》德尔贝
Δίδυμος,《和》低土马;《现》双胞胎;《思》狄狄摩
Δαλμανουθά,大玛努他;《思》达玛奴达
Δαλματία,挞马太;《思》达耳玛提雅
Δαμασκηνός,大马士革的;《和》大马色的
Δαμασκός,大马士革;《和》大马色
Δανιήλ,但以理;《思》达尼尔
Δαυίδ,大卫;《思》达味
