# semantic field per Strong's (high+prior tiers, rolled from lexeme neighbors); CC0
strong	neighbor	neighbor_gloss	relation	confidence	score
H0001	H0517	mother	antonym	recall	0.774
H0001	H1121	son	antonym	recall	0.762
H0003	H0024	Abib	similar	prior	0.5
H0006	H8045	destroy	similar	high	0.905
H0006	H3772	cut	similar	high	0.809
H0006	H7843	ruin	similar	high	0.695
H0006	H2763	devote	similar	high	0.552
H0006	H4191	die	similar	prior	0.5
H0006	H0009	something lost	similar	prior	0.5
H0006	H0010	destruction	similar	prior	0.5
H0006	H0013	destruction	similar	prior	0.5
H0006	H0012	destruction	similar	prior	0.5
H0006	H0007	destroy	similar	prior	0.5
H0008	H0009	something lost	similar	prior	0.5
H0008	H0013	destruction	similar	prior	0.5
H0008	H0010	destruction	similar	prior	0.5
H0008	H0012	destruction	similar	prior	0.5
H0008	H0006	perish	similar	prior	0.5
H0008	H0007	destroy	similar	prior	0.5
H0009	H0012	destruction	similar	prior	0.5
H0009	H0010	destruction	similar	prior	0.5
H0012	H0010	destruction	similar	prior	0.5
H0013	H0010	destruction	similar	prior	0.5
H0013	H0009	something lost	similar	prior	0.5
H0013	H0012	destruction	similar	prior	0.5
H0014	H2974	be willing	similar	high	0.82
H0014	H3985	refuse	antonym	recall	0.707
H0014	H2654	delight in	similar	high	0.629
H0014	H0225	consent	similar	prior	0.5
H0014	H7521	accept	similar	prior	0.5
H0014	H0016	papyrus	similar	prior	0.5
H0018	H0723	stall	similar	prior	0.5
H0034	H6041	afflicted	similar	high	1.0
H0034	H1800	poor	similar	high	1.0
H0034	H7326	be poor	similar	high	0.772
H0034	H6223	rich	antonym	recall	0.543
H0034	H0035	desire	similar	prior	0.5
H0034	H0016	papyrus	similar	prior	0.5
H0034	H0014	be willing	similar	prior	0.5
H0035	H0016	papyrus	similar	prior	0.5
H0035	H0014	be willing	similar	prior	0.5
H0046	H0352	ram	similar	prior	0.5
H0046	H0083	wing	similar	prior	0.5
H0047	H1368	mighty man	similar	high	0.685
H0047	H3524	mighty	similar	prior	0.5
H0047	H5794	strong	similar	prior	0.5
H0047	H0117	great	similar	prior	0.5
H0047	H2389	strong	similar	prior	0.5
H0047	H0083	wing	similar	prior	0.5
H0047	H0046	mighty	similar	prior	0.5
H0056	H1058	weep	similar	high	0.69
H0056	H5594	mourn	similar	high	0.574
H0056	H5162	sorry	antonym	recall	0.522
H0056	H6969	chant	similar	prior	0.5
H0056	H0535	weaken	similar	prior	0.5
H0056	H0060	mourning	similar	prior	0.5
H0056	H0057	mourning	similar	prior	0.5
H0056	H8056	glad	antonym	recall	0.436
H0056	H8055	rejoice	antonym	recall	0.4
H0057	H0060	mourning	similar	high	0.895
H0057	H8057	joy	antonym	recall	0.328
H0060	H0057	mourning	similar	high	0.895
H0060	H4553	mourning	similar	high	0.739
H0060	H5594	mourn	similar	high	0.554
H0060	H8057	joy	antonym	recall	0.533
H0060	H6912	bury	similar	prior	0.5
H0060	H6685	fast	similar	prior	0.5
H0060	H8424	grief	similar	prior	0.5
H0068	H3871	tablet	similar	high	0.787
H0068	H1496	cutting	similar	high	0.783
H0068	H6438	Corner (Gate)	similar	prior	0.5
H0068	H5619	stone	similar	prior	0.5
H0070	H0068	stone	similar	prior	0.5
H0073	H2805	artwork	similar	high	0.708
H0073	H0247	gird	similar	prior	0.5
H0073	H2289	belted	similar	prior	0.5
H0075	H0018	crib	similar	prior	0.5
H0075	H3965	granary	similar	prior	0.5
H0080	H6083	dust	similar	high	0.708
H0080	H7834	cloud	similar	prior	0.5
H0080	H0081	aromatic powder	similar	prior	0.5
H0082	H0047	mighty	similar	prior	0.5
H0082	H0084	pinion	similar	prior	0.5
H0082	H0046	mighty	similar	prior	0.5
H0082	H0083	wing	similar	prior	0.5
H0083	H3671	wing	similar	prior	0.5
H0084	H5133	plumage	similar	high	0.525
H0084	H3671	wing	similar	high	0.509
H0084	H0083	wing	similar	prior	0.5
H0084	H0047	mighty	similar	prior	0.5
H0084	H0046	mighty	similar	prior	0.5
H0092	H2256	Mahalab	similar	prior	0.5
H0092	H6872	bundle	similar	prior	0.5
H0098	H4599	spring	similar	high	0.605
H0099	H0098	pool	similar	prior	0.5
H0100	H5488	Red (Sea)	similar	prior	0.5
H0100	H1573	reed	similar	prior	0.5
H0101	H7086	dish	similar	prior	0.5
H0101	H5592	basin	similar	prior	0.5
H0101	H3713	bowl	similar	prior	0.5
H0101	H3563	cup	similar	prior	0.5
H0102	H6635	army	similar	prior	0.5
H0102	H4255	class	similar	prior	0.5
H0103	H0686	store	similar	prior	0.5
H0107	H5612	scroll	similar	high	0.831
H0107	H0095	piece	similar	prior	0.5
H0108	H6227	smoke	similar	prior	0.5
H0108	H0181	firebrand	similar	prior	0.5
H0113	H0136	Lord	similar	high	1.0
H0113	H5650	servant	antonym	recall	0.749
H0113	H4428	king	similar	high	0.668
H0113	H1404	lady	similar	prior	0.5
H0113	H8269	ruler	similar	prior	0.5
H0113	H4756	lord	similar	prior	0.5
H0113	H0134	socket	similar	prior	0.5
H0117	H1368	mighty man	similar	high	0.63
H0117	H0047	mighty	similar	high	0.519
H0117	H3524	mighty	similar	prior	0.5
H0117	H0142	be glorious	similar	prior	0.5
