# multi-word expressions (M1): target phrase -> original lexeme(s); lang=fra; from bcv-commons/lexeme-alignments; content+same-testament, count>=2. CC0
surface	strongs	lexemes	kind	confidence	count	methods
abattrez idoles	H0842	hbo:0842	fertility	1.0	2	eflomal
abel maaca	H0062	hbo:0062	fertility	1.0	3	eflomal
abel mehola	H0065	hbo:0065	fertility	1.0	6	eflomal;gloss
abigaïl carmel	H0026	hbo:0026	fertility	1.0	5	eflomal
abîme jaillirent	H8415	hbo:8415	fertility	1.0	2	eflomal
acacia placées	H7848	hbo:7848	fertility	1.0	2	eflomal
accomplir vœu	H5088	hbo:5088	fertility	1.0	2	eflomal
accomplirai vœux	H5088	hbo:5088	fertility	1.0	3	eflomal
accordée désires	H1246	hbo:1246	fertility	1.0	3	eflomal
acheter blé	H7666	hbo:7666	fertility	1.0	2	eflomal
action grâces	G2169	grc:2169	fertility	1.0	2	eflomal
admit conseil secret	H4928	hbo:4928	fertility	1.0	2	eflomal
adoni bézek	H0137	hbo:0137	fertility	1.0	6	eflomal;gloss
adoni tsédek	H0139	hbo:0139	fertility	1.0	4	eflomal;gloss
agitera côté	H5130	hbo:5130	fertility	1.0	2	eflomal
agréable odeur	H5207	hbo:5207	fertility	1.0	38	eflomal
airain ardent	G5474	grc:5474	fertility	1.0	4	eflomal;gloss
airain poli	H2830	hbo:2830	fertility	1.0	5	eflomal;gloss
aire athad	H0329	hbo:0329b	fertility	1.0	2	eflomal
aller devant	H7122	hbo:7122	fertility	1.0	3	eflomal
aller rencontre	H7122	hbo:7122	fertility	1.0	3	eflomal
allia mariage	H2859	hbo:2859	fertility	1.0	2	eflomal
alliance traitée	H3772	hbo:3772	fertility	1.0	2	eflomal
allés voir	G1831	grc:1831	fertility	1.0	2	eflomal
almon diblathaïm	H5963	hbo:5963	fertility	1.0	4	eflomal;gloss
amener obéissance	G5218	grc:5218	fertility	1.0	2	eflomal
amour fraternel	G5360	grc:5360	fertility	1.0	12	eflomal;gloss
animaux étouffés	G4156	grc:4156	fertility	1.0	6	eflomal;gloss
annonçant bonne nouvelle	G2097	grc:2097	fertility	1.0	3	eflomal
appartenait élimélec	H0458	hbo:0458	fertility	1.0	2	eflomal
appartienne prochain	H7453	hbo:7453	fertility	1.0	2	eflomal
appelles bon	G0018	grc:18	fertility	1.0	2	eflomal
appliqué cœur	H3820	hbo:3820	fertility	1.0	5	eflomal
apporte guérison	H4832	hbo:4832	fertility	1.0	2	eflomal
apportent malédiction	H0779	hbo:0779	fertility	1.0	4	eflomal
approchera puni	H7131	hbo:7131	fertility	1.0	3	eflomal
approcheront douleur	H3015	hbo:3015	fertility	1.0	2	eflomal
après dénombrement	H6485	hbo:6485	fertility	1.0	15	eflomal
après estimation	H6187	hbo:6187	fertility	1.0	5	eflomal
après rendu grâces	G2168	grc:2168	fertility	1.0	6	eflomal
arbres espèce	H6086	hbo:6086	fertility	1.0	2	eflomal
argent commun	H3701	hbo:3701	fertility	1.0	2	eflomal
arnon depuis	H0769	hbo:0769	fertility	1.0	2	eflomal
assemblée solennelle	H6116	hbo:6116	fertility	1.0	5	eflomal
assistance destinée	G1248	grc:1248	fertility	1.0	4	eflomal;gloss
assujettis tribut	H4522	hbo:4522	fertility	1.0	3	eflomal
atharoth addar	H5853	hbo:5853	fertility	1.0	4	eflomal;gloss
aucun n	G3762	grc:3762	fertility	1.0	3	eflomal
aura honte	G1870	grc:1870	fertility	1.0	3	eflomal
auras achevé	H7999	hbo:7999	fertility	1.0	2	eflomal
auras semé	H2232	hbo:2232	fertility	1.0	2	eflomal
auras succès	H6743	hbo:6743	fertility	1.0	5	eflomal
auront respect	G1788	grc:1788	fertility	1.0	2	eflomal
auront soif	H6770	hbo:6770	fertility	1.0	2	eflomal
autres garniture	H4394	hbo:4394	fertility	1.0	2	eflomal
avait annoncé	G2046	grc:2046	fertility	1.0	12	eflomal;gloss
avait canne	H7070	hbo:7070	fertility	1.0	3	eflomal
avait coudées	H0520	hbo:0520	fertility	1.0	14	eflomal
avait frappé	H6556	hbo:6556	fertility	1.0	4	eflomal;gloss
avez lu	G0314	grc:314	fertility	1.0	5	eflomal
avoir rompit	G2806	grc:2806	fertility	1.0	4	eflomal
avons quitté	G0863	grc:863	fertility	1.0	3	eflomal
ayant appelé	G4341	grc:4341	fertility	1.0	5	eflomal
ayant fièvre	G4445	grc:4445	fertility	1.0	2	eflomal
ayant quitté	G0863	grc:863	fertility	1.0	2	eflomal
ayez courage	H0553	hbo:0553	fertility	1.0	3	eflomal
baal berith	H1170	hbo:1170	fertility	1.0	4	eflomal;gloss
baal gad	H1171	hbo:1171	fertility	1.0	6	eflomal;gloss
baal hanan	H1177	hbo:1177	fertility	1.0	10	eflomal;gloss
baal hermon	H1179	hbo:1179	fertility	1.0	4	eflomal;gloss
baal meon	H1186	hbo:1186	fertility	1.0	6	eflomal;gloss
baal peor	H1187	hbo:1187	fertility	1.0	5	eflomal
baal peratsim	H1188	hbo:1188	fertility	1.0	8	eflomal;gloss
baal tsephon	H1189	hbo:1189	fertility	1.0	6	eflomal;gloss
baal zebub	H1176	hbo:1176	fertility	1.0	3	eflomal
babylone gouverneur	H0894	hbo:0894	fertility	1.0	2	eflomal
balaam balaam	H1109	hbo:1109	fertility	1.0	2	eflomal
