# source=tw (human-translated Translation-Words article titles) + llm (remainder); anchored on the original lemma
strong	lemma_ref	en_ref	gloss
G0001	ἄλφα	Alpha	Alfa
G0002	Ἀαρών	Aaron	Harun
G0006	Ἂβελ	Abel	Habel
G0007	Ἀβιά	Abijah	Abia
G0008	Ἀβιαθάρ	Abiathar	Abyatar
G0010	Ἀβιούδ	Abiud	Abiud
G0011	Ἀβραάμ	Abraham, Abram	Abraham, Abram
G0012	ἄβυσσος	abyss, bottomless pit	jurang, lubang tanpa dasar
G0014	ἀγαθουργέω	good, right, pleasant, better	baik, kebaikan
G0015	ἀγαθοποιέω	good, right, pleasant, better	baik, kebaikan
G0017	ἀγαθοποιός	good, right, pleasant, better	baik, kebaikan
G0018	ἀγαθός	good, right, pleasant, better	baik, kebaikan
G0019	ἀγαθωσύνη	good, right, pleasant, better	baik, kebaikan
G0020	ἀγαλλίασις	exult, exultant	sukacita, bersukacita, kesukacitaan
G0021	ἀγαλλιάω	exult, exultant	sukacita, bersukacita, kesukacitaan
G0025	ἀγαπάω	love, beloved	cinta, cinta kasih, mencintai, dicintai
G0026	ἀγάπη	love, beloved	cinta, cinta kasih, mencintai, dicintai
G0027	ἀγαπητός	beloved	terkasih
G0028	Ἁγάρ	Hagar	Hagar
G0031	ἀγγέλλω	report, reported, tell, reputation	kabar, kabar-kabar, terkabar
G0032	ἄγγελος	angel, archangel	malaikat, penghulu malaikat
G0037	ἁγιάζω	sanctify, sanctification	menyucikan, penyucian
G0038	ἁγιασμός	sanctify, sanctification	menyucikan, penyucian
G0041	ἁγιότης	holy, holiness, unholy, sacred	kudus, kekudusan, tak kudus, sakral
G0042	ἁγιωσύνη	holy, holiness, unholy, sacred	kudus, kekudusan, tak kudus, sakral
G0047	ἁγνία	pure, purify, purification	suci, menyucikan, penyucian
G0048	ἁγνίζω	pure, purify, purification	suci, menyucikan, penyucian
G0049	ἁγνισμός	pure, purify, purification	suci, menyucikan, penyucian
G0050	ἀγνοέω	know, knew, knowledge, known	mengetahui, pengetahuan, memberitahukan, mengetahui sebelumnya
G0053	ἁγνός	pure, purify, purification	suci, menyucikan, penyucian
G0056	ἀγνωσία	know, knew, knowledge, known	mengetahui, pengetahuan, memberitahukan, mengetahui sebelumnya
G0059	ἀγοράζω	redeem, redeemer, redemption	menebus, penebusan, penebus
G0065	ἀγριέλαιος	olive	zaitun
G0069	ἀγρυπνέω	watch, guard, take heed, beware	menonton, mengawasi, menyaksikan, penjaga
G0076	Ἀδάμ	Adam	Adam
G0086	ᾍδης	Hades, Sheol	Hades, Dunia orang mati
G0091	ἀδικέω	wrong, wronged, wrongdoer, mistreat	salah, pelanggar, berbuat salah, menganiaya
G0093	ἀδικία	righteous, righteousness, unrighteous, unrighteousness	benar, adil, tidak benar, tidak benar
G0094	ἄδικος	righteous, righteousness, unrighteous, unrighteousness	benar, adil, tidak benar, tidak benar
G0097	ἄδολος	pure, purify, purification	suci, menyucikan, penyucian
G0100	ἁδρότης	abundance	kelimpahan
G0101	ἀδυνατέω	be impossible	mustahil
G0102	ἀδύνατος	unable	tidak mampu
G0103	ᾄδω	sing	bernyanyi
G0104	ἀεί	always	selalu
G0105	ἀετός	eagle	rajawali, burung rajawali
G0106	ἄζυμος	unleavened bread	roti yang tidak khamir
G0107	Ἀζώρ	Azor	Azor
G0108	Ἄζωτος	Azotus	Azotus
G0109	ἀήρ	air	udara
G0110	ἀθανασία	immortality	ketakfanaan
G0111	ἀθέμιτος	unlawful	haram
G0112	ἄθεος	without God	tanpa Tuhan
G0113	ἄθεσμος	lawful, unlawful, not lawful, lawless	halal, halal, melanggar hukum, tidak halal
G0114	ἀθετέω	reject, rejected, rejection	menolak, ditolak, penolakan
G0115	ἀθέτησις	nullification	pembatalan
G0116	Ἀθῆναι	Athens	Atena
G0117	Ἀθηναῖος	Athenian	Atenai
G0118	ἀθλέω	compete	berkompetisi
G0119	ἀθροίζω	assembly, assemble, congregation, meeting	majelis, pertemuan, berkumpul, telah berkumpul
G0120	ἀθυμέω	be discouraged	putus asa
G0121	ἀθῷος	innocent	tak berdosa
G0122	αἴγιος	goat's	kambing
G0123	αἰγιαλός	shore	pantai
G0124	Αἰγύπτιος	Egypt, Egyptian	Mesir, orang Mesir, bangsa Mesir
G0125	Αἴγυπτος	Egypt, Egyptian	Mesir, orang Mesir, bangsa Mesir
G0126	ἀΐδιος	eternity, everlasting, eternal, forever	abadi, kekal, kekekalan
G0128	Αἰθίοψ	Ethiopia, Ethiopian	Etiopia, orang Etiopia
G0133	αἴνεσις	praise, praised, praiseworthy	memuji, memuji, dipuji, memuji
G0134	αἰνέω	praise, praised, praiseworthy	memuji, memuji, dipuji, memuji
G0136	αἶνος	praise, praised, praiseworthy	memuji, memuji, dipuji, memuji
G0138	αἱρέω	chosen, choose, chosen people, Chosen One	yang terpilih
G0140	αἱρετίζω	chosen, choose, chosen people, Chosen One	yang terpilih
G0142	αἴρω	bear, bearer, bore, borne	menanggung, tanggungan, pembawa
G0143	αἰσθάνομαι	understand, understanding, thinking	memahami, mengerti, mengerti, pengertian
G0150	αἰσχρός	shame, ashamed, disgrace, humiliate	malu, memalukan, merasa malu, dipermalukan
G0152	αἰσχύνη	shame, ashamed, disgrace, humiliate	malu, memalukan, merasa malu, dipermalukan
G0153	αἰσχύνω	shame, ashamed, disgrace, humiliate	malu, memalukan, merasa malu, dipermalukan
G0156	αἰτία	guilt, guilty	rasa bersalah, bersalah
G0161	αἰχμαλωσία	captive, captivate, captivity, catch	Tawanan, Para Tawanan, Menawan, Ditawan
G0163	αἰχμαλωτίζω	captive, captivate, captivity, catch	Tawanan, Para Tawanan, Menawan, Ditawan
G0164	αἰχμάλωτος	captive, captivate, captivity, catch	Tawanan, Para Tawanan, Menawan, Ditawan
G0165	αἰών	age, aged, old, old age	usia, zaman
