strong	lemma	en	es	fr	pt	zh	zh-Hant
G0001	ἄλφα	Alpha	alfa *				
G0002	Ἀαρών	Aaron	Aarón	Aaron		亚伦;《思》亚郎	亞倫;《思》亞郎
G0003	Ἀβαδδών	Abaddon	Abadón, que significa Destructor	Abaddôn signifiant Destructeur		亚巴顿;《思》阿巴冬;意思是“毁灭者”	亞巴頓;《思》阿巴冬;意思是「毀滅者」
G0004	ἀβαρής	not burdensome	no ser una carga financiera	ne pas être une charge financière		没有成为财务上的负担	沒有成為財務上的負擔
G0005	ἀββά	Abba	Padre	Père		阿爸;父亲	阿爸;父親
G0006	Ἂβελ	Abel	Abel	Abel		亚伯;《思》亚伯尔	亞伯;《思》亞伯爾
G0007	Ἀβιά	Abijah	Abías	Abia		亚比雅;《思》阿彼雅	亞比雅;《思》阿彼雅
G0008	Ἀβιαθάρ	Abiathar	Abiatar	Abiathar		亚比亚他;《思》厄贝雅塔尔	亞比亞他;《思》厄貝雅塔爾
G0009	Ἀβειληνή	Abilene	Abilene	Abilène		亚比利尼;《思》阿彼勒乃	亞比利尼;《思》阿彼勒乃
G0010	Ἀβιούδ	Abiud	Abiud	Abioud		亚比玉;《思》阿彼乌得	亞比玉;《思》阿彼烏得
G0011	Ἀβραάμ	Abraham	Abraham	Abraham		亚伯拉罕;《思》亚巴郎	亞伯拉罕;《思》亞巴郎
G0012	ἄβυσσος	abyss	abismo	abîme		无底坑;深渊;邪灵的居所	無底坑;深淵;邪靈的居所
G0013	Ἅγαβος	Agabus	Ágabo	Agabus		亚迦布;《思》阿加波	亞迦布;《思》阿加波
G0014	ἀγαθοεργέω	do good	hacer el bien	faire le bien		行善;做善事;善行	行善;做善事;善行
G0015	ἀγαθοποιέω	do good	hacer el bien	faire le bien		行善;做善事;善行	行善;做善事;善行
G0016	ἀγαθοποιΐα	doing good	hacer el bien	faire le bien		行善;做善事;善行	行善;做善事;善行
G0017	ἀγαθοποιός	doing good	el que hace el bien	celui qui fait le bien		做好事的人;使别人得益的人	做好事的人;使別人得益的人
G0018	ἀγαθός	good	bueno	bien		好的;善的;良善;善行	好的;善的;良善;善行
G0019	ἀγαθωσύνη	goodness	bueno	bien		好的;善的;良善;善行	好的;善的;良善;善行
G0020	ἀγαλλίασις	joy	ser jubiloso	être extrêmement joyeux		非常喜乐;大大欢喜;大喜乐	非常喜樂;大大歡喜;大喜樂
G0021	ἀγαλλιάω	rejoice	ser extremadamente alegre	être extrêmement joyeux		非常快乐;极度喜乐;欢欣;雀跃	非常快樂;極度喜樂;歡欣;雀躍
G0022	ἄγαμος	unmarried	soltero	non-marié		没有结婚的	沒有結婚的
G0023	ἀγανακτέω	be indignant	estar indignado	être indigné		恼怒;生气	惱怒;生氣
G0024	ἀγανάκτησις	indignation	indignación	indignation		义愤;愤慨	義憤;憤慨
G0025	ἀγαπάω	love	amar	aimer		爱;爱心关怀;关爱;喜爱	愛;愛心關懷;關愛;喜愛
G0026	ἀγάπη	love	amar	aimer		爱;爱心关怀;关爱;喜爱	愛;愛心關懷;關愛;喜愛
G0027	ἀγαπητός	beloved	objeto del afecto de uno	objet de (mon) affection		喜爱的对象;被爱的人;所爱的;亲爱的	喜愛的對象;被愛的人;所愛的;親愛的
G0028	Ἁγάρ	Hagar	Agar	Agar		夏甲;《思》哈加尔	夏甲;《思》哈加爾
G0029	ἀγγαρεύω	force	obligar a alguien a llevar una carga	obliger quelqu'un à porter une charge		强迫某人背负重担;强迫某人服事	強迫某人背負重擔;強迫某人服事
G0030	ἀγγεῖον	jar	frasco	récipient		容器,器皿	容器,器皿
G0031	ἀγγελία	message	mensaje	message		信息;宣告	信息;宣告
G0032	ἄγγελος	angel	mensajero	messager		使者;信使	使者;信使
G0033		lead	conducir *				
G0034	ἀγέλη	herd	manada	troupeau		群,兽群	群,獸群
G0035	ἀγενεαλόγητος	without genealogy	sin registro de antepasados	sans trace d'ancêtres		无族谱	無族譜
G0036	ἀγενής	lowly	bajo	bas		卑贱的;无足轻重的;低等的	卑賤的;無足輕重的;低等的
G0037	ἁγιάζω	sanctify	consagrar	se consacrer		分别为圣;奉献;分别为圣归给上帝;奉献给上帝	分別為聖;奉獻;分別為聖歸給上帝;奉獻給上帝
G0038	ἁγιασμός	holiness	consagración	se consacrer		分别为圣归上帝;圣洁;成圣	分別為聖歸上帝;聖潔;成聖
G0039		Holy Place	santuario *				
G0040	ἅγιος	holy	santo	saint		圣洁的;纯洁的;神圣的	聖潔的;純潔的;神聖的
G0041	ἁγιότης	holiness	santidad	sainteté		圣洁;神圣的品质	聖潔;神聖的品質
G0042	ἁγιωσύνη	holiness	santidad	sainteté		圣洁;神圣的品质	聖潔;神聖的品質
G0043	ἀγκάλη	arm	brazo	bras plié		臂弯	臂彎
G0044	ἄγκιστρον	fishhook	anzuelo	hameçon		鱼钩	魚鈎
G0045	ἄγκυρα	anchor	ancla	ancre		锚	錨
G0046	ἄγναφος	unshrunk	nuevo	non-rétréci		未缩水的;未缩过水的;新的	未縮水的;未縮過水的;新的
G0047	ἁγνία	purity	estar sin defecto moral	être sans défaut de moralité		道德上没有缺点;纯洁	道德上沒有缺點;純潔
G0048	ἁγνίζω	purify	purificar	purifier		洁净;守洁净礼;行洁净礼	潔淨;守潔淨禮;行潔淨禮
G0049	ἁγνισμός	purification	purificar	purifier		洁净;行洁净礼	潔淨;行潔淨禮
G0050	ἀγνοέω	be ignorant	no saber	ne pas savoir		不知道;不晓得;不明白;无知	不知道;不曉得;不明白;無知
G0051	ἀγνόημα	error	pecar por ignorancia	pécher en toute ignorance		因无知而犯罪;犯罪而不自知	因無知而犯罪;犯罪而不自知
G0052	ἄγνοια	ignorance	no saber	ne pas savoir		不知道;不晓得;不明白;无知	不知道;不曉得;不明白;無知
G0053	ἁγνός	pure	puro	pur		纯洁的;没有缺陷的	純潔的;沒有缺陷的
G0054	ἁγνότης	purity	estar sin defecto moral	être sans défaut de moralité		道德上没有缺点;纯洁	道德上沒有缺點;純潔
G0055	ἁγνῶς	purely	sinceramente	sincèrement		真诚地;出于纯洁的动机;诚实的动机	真誠地;出於純潔的動機;誠實的動機
G0056	ἀγνωσία	ignorance	falta de conocimiento	manquer de connaissance		缺乏知识;不认识;无知	缺乏知識;不認識;無知
G0057	ἄγνωστος	unknown	no se conoce	non connu		未知的;不认识的	未知的;不認識的
G0058	ἀγορά	marketplace	mercado	marché		街市;市场;集市;商业中心	街市;市場;集市;商業中心
G0059	ἀγοράζω	buy	comprar	acheter		买;购买	買;購買
G0060	ἀγοραῖος	of the marketplace	vago	vaurien		闲逛的人;无业游民	閒逛的人;無業遊民
G0061	ἄγρα	catch	atrapar	attraper		捕捉;抓住	捕捉;抓住
G0062	ἀγράμματος	unschooled	sin educación	sans instruction		没有受过教育的;没有学问的	沒有受過教育的;沒有學問的
G0063	ἀγραυλέω	live outside	permanecer afuera	demeurer à l'extérieur		露宿野外	露宿野外
G0064	ἀγρεύω	catch	atrapar	piéger		设圈套;抓其不备;抓住错误;找话柄陷害;找把柄	設圈套;抓其不備;抓住錯誤;找話柄陷害;找把柄
G0065	ἀγριέλαιος	wild olive tree	olivo silvestre	olivier sauvage		野橄榄树	野橄欖樹
G0066	ἄγριος	wild	violento	violent		狂怒的;猛烈的	狂怒的;猛烈的
G0067	Ἀγρίππας	Agrippa	Agripa	Agrippa		亚基帕;《思》阿格黎帕	亞基帕;《思》阿格黎帕
G0068	ἀγρός	Field of	campo	champ		野地;田地	野地;田地
G0069	ἀγρυπνέω	be watchful	estar alerta	faire attention		保持警觉;留心观察;警惕;警醒	保持警覺;留心觀察;警惕;警醒
G0070	ἀγρυπνία	sleeplessness	desvelo	insomnie		失眠;不能睡觉	失眠;不能睡覺
G0071	ἄγω	bring	llevar	conduire		引领;带	引領;帶
G0072	ἀγωγή	self-conduct	vivir	vivre		生活态度;行事为人;行为表现;品行;人生观	生活態度;行事為人;行為表現;品行;人生觀
G0073	ἀγών	fight	luchar	lutter		争战;作战;奋斗	爭戰;作戰;奮鬥
G0074	ἀγών	struggle	angustia	angoisse		苦恼;极度伤痛;极大的痛苦	苦惱;極度傷痛;極大的痛苦
G0075	ἀγωνίζομαι	struggle	luchar	lutter		争战;作战;奋斗	爭戰;作戰;奮鬥
G0076	Ἀδάμ	Adam	Adán	Adam		亚当	亞當
G0077	ἀδάπανος	free	gratis	gratuitement		免费的;不需花钱的	免費的;不需花錢的
G0078	Ἀδδεί	Addi	Adi	Addi		亚底;《思》阿狄	亞底;《思》阿狄
G0079	ἀδελφή	sister	hermana	sœur		姊妹	姊妹
G0080	ἀδελφός	brother	hermano	frère		兄弟	兄弟
G0081	ἀδελφότης	brotherhood	hermandad	fraternité		教中的弟兄;同作信徒的人	教中的弟兄;同作信徒的人
G0082	ἄδηλος	unclear	no es evidente	pas clair		不明显的;未察觉的;看不见的;没有记号的	不明顯的;未察覺的;看不見的;沒有記號的
G0083	ἀδηλότης	uncertainty	incertidumbre	incertain		不可靠;靠不住	不可靠;靠不住
G0084	ἀδήλως	uncertainly	sin propósito	sans raison		没有目的;无意的;无目标的	沒有目的;無意的;無目標的
G0085	ἀδημονέω	be distressed	estar preocupado	être inquiet		担忧;难过;痛苦	擔憂;難過;痛苦
G0086	ᾍδης	hell	el mundo de los muertos	le monde des morts		地狱;阴间	地獄;陰間
G0087	ἀδιάκριτος	impartial	imparcial	impartial		不偏私的;没有偏见的	不偏私的;沒有偏見的
G0088	ἀδιάλειπτος	continuous	no cesar	sans cesse		不停地;不止息地;连续不断地;不住;不断	不停地;不止息地;連續不斷地;不住;不斷
G0089	ἀδιαλείπτως	unceasingly	no cesar	sans cesse		不停地;不止息地;连续不断地;不住;不断	不停地;不止息地;連續不斷地;不住;不斷
G0090		unspoilable	incorruptible *				
G0091	ἀδικέω	harm	herir	faire du mal		伤害;危害	傷害;危害
G0092	ἀδίκημα	crime	acto injusto	injustice		过犯;罪恶	過犯;罪惡
G0093	ἀδικία	unrighteousness	acto injusto	acte injuste		不公正的行为;不义;行不正义的事	不公正的行為;不義;行不正義的事
G0094	ἄδικος	unjust	injusto	injuste		不公正的;不公正地;不义的	不公正的;不公正地;不義的
G0095	ἀδίκως	unjustly	injusto	injuste		不公正的;不公正地;不义的	不公正的;不公正地;不義的
G0096	ἀδόκιμος	failing	no apropiado	ne pas convenir		不合适的;不应该做的;坏的	不合適的;不應該做的;壞的
G0097	ἄδολος	pure	sin adulterar	non-frelaté		纯净的;无杂质的	純淨的;無雜質的
G0098	Ἀδραμυντηνός	Adramyttium	de Adramitio	d'Adramyttium		亚大米田的;《思》阿得辣米特的	亞大米田的;《思》阿得辣米特的
G0099	Ἀδρίας	Adriatic Sea	Mar Adriático	Mer Adriatique		亚得里亚海;《思》亚得里亚海	亞得里亞海;《思》亞得里亞海
G0100	ἁδρότης	abundance	abundancia	abondant		充足;充裕;慷慨的赠予;丰厚的捐款	充足;充裕;慷慨的贈予;豐厚的捐款
G0101	ἀδυνατέω	be impossible	imposible	impossible		不可能;不能做;做不到	不可能;不能做;做不到
G0102	ἀδύνατος	unable	incapaz	incapable		无力的;软弱的;残疾的;没有能力的	無力的;軟弱的;殘疾的;沒有能力的
