# multi-word expressions (M1): target phrase -> original lexeme(s); lang=hin; from bcv-commons/lexeme-alignments; content+same-testament, count>=2. CC0
surface	strongs	lexemes	kind	confidence	count	methods
अंगरकषकों परधान	H2876	hbo:2876	fertility	1.0	2	eflomal
अंगरकषकों परधान नबूजरदान	H2876	hbo:2876	fertility	1.0	3	eflomal
अंगूर लता	H1612	hbo:1612	fertility	1.0	5	eflomal
अंजीर पेड	G4808	grc:4808	fertility	1.0	10	eflomal
अंजीर वृकष	H8384	hbo:8384	fertility	1.0	4	eflomal
अंतडियों पैरों	H3767	hbo:3767	fertility	1.0	2	eflomal
अकाल पडेंगे	G3042	grc:3042	fertility	1.0	2	eflomal
अखमीरी रोटियाँ	H4682	hbo:4682	fertility	1.0	2	eflomal
अखमीरी रोटियों	H4682	hbo:4682	fertility	1.0	4	eflomal
अखमीरी रोटी परव	G0106	grc:106	fertility	1.0	4	eflomal
अचछी बालें	H7641	hbo:7641	fertility	1.0	2	eflomal
अचछी वसतुओं	H2898	hbo:2898	fertility	1.0	2	eflomal
अतयाचार सहता	H6231	hbo:6231	fertility	1.0	2	eflomal
अतिथि सतकार	G5382	grc:5382	fertility	1.0	2	eflomal
अथाह कुणड	G0012	grc:12	fertility	1.0	7	eflomal
अदोनिययाह अदोनिययाह	H0138	hbo:0138	fertility	1.0	2	eflomal
अधरम कामों	H5771	hbo:5771	fertility	1.0	8	eflomal
अधरम दणड	H5771	hbo:5771	fertility	1.0	8	eflomal
अधरम पडेगा	H5771	hbo:5771	fertility	1.0	2	eflomal
अधरम फँसने	H5771	hbo:5771	fertility	1.0	2	eflomal
अधरम फँसा	H5771	hbo:5771	fertility	1.0	4	eflomal
अधिकार दिया	G1325	grc:1325	fertility	1.0	3	eflomal
अधिकारी ठहराया	H6485	hbo:6485	fertility	1.0	2	eflomal
अधिपतियों अधिपतियों	H6346	hbo:6346	fertility	1.0	2	eflomal
अधीन होना	H5647	hbo:5647	fertility	1.0	2	eflomal
अधोलोक उतर	H7585	hbo:7585	fertility	1.0	3	eflomal
अधोलोक विनाशलोक	H7585	hbo:7585	fertility	1.0	2	eflomal
अनतिम पहर	H0821	hbo:0821	fertility	1.0	2	eflomal
अनतिम युग	G2078	grc:2078	fertility	1.0	2	eflomal
अनन मोल लेने	H7666	hbo:7666	fertility	1.0	2	eflomal
अननत पाए	G0166	grc:166	fertility	1.0	3	eflomal
अननबलि चढाने	H4503	hbo:4503	fertility	1.0	2	eflomal
अनमोल पदारथ	H4022	hbo:4022	fertility	1.0	3	eflomal
अनमोल वसतुएँ	H4030	hbo:4030	fertility	1.0	3	eflomal
अनयजातियाँ रखेंगी	G1484	grc:1484	fertility	1.0	2	eflomal
अनरथ काम	H0205	hbo:0205	fertility	1.0	6	eflomal
अनाथ बालकों	H3490	hbo:3490	fertility	1.0	2	eflomal
अनाथों डालते	H3490	hbo:3490	fertility	1.0	2	eflomal
अनुगरह मुझ	H2580	hbo:2580	fertility	1.0	7	eflomal
अनुसार काम	H6213	hbo:6213	fertility	1.0	2	eflomal
अनुसार किया	H6213	hbo:6213	fertility	1.0	2	eflomal
अनुसार गिने	H6485	hbo:6485	fertility	1.0	3	eflomal
अनुसार चलें	G4748	grc:4748	fertility	1.0	2	eflomal
अनोखी कठिन भाषावाली	H6012	hbo:6012	fertility	1.0	2	eflomal
अपना अपना धूपदान	H4289	hbo:4289	fertility	1.0	3	eflomal
अपना खडा	H5186	hbo:5186	fertility	1.0	3	eflomal
अपना सथिर	H3559	hbo:3559	fertility	1.0	2	eflomal
अपनी अपनी इचछा	H5068	hbo:5068	fertility	1.0	3	eflomal
