code	en	es	fr	zh-hans	id
001001	Universe, Creation	Universo, Creación	Univers, Création	宇宙，万物	Alam Semesta, Penciptaan
001002	Regions Above the Earth	Regiones sobre la Tierra	Régions au-dessus de la Terre	地面之上的地方	Wilayah di Atas Bumi
001003	Regions Below the Surface of the Earth	Regiones bajo la superficie de la Tierra	Régions sous la surface de la Terre	地面以下的地方	Wilayah di Bawah Permukaan Bumi
001004	Heavenly Bodies	Cuerpos Celestiales	Corps célestes	天体	Benda-Benda Langit
001005	Atmospheric Objects	Cuerpos Atmosféricos	Objets de l'atmosphère	大气的物体	Benda-Benda Atmosfer
001006	The Earth's Surface	La Superficie de la Tierra	La surface de la Terre	地球的表面	Permukaan Bumi
001007	Elevated Land Formations	Elevaciones terrestres	Reliefs	凸起的地形	Bentang Tanah yang Tinggi
001008	Depressions and Holes	Depresiones y agujeros	Dépressions et cavités	洼地及洞穴	Cekungan dan Lubang
001009	Land in Contrast With the Sea	Tierra en contraste con el mar	Terres contrastant avec la mer	与海洋形成对比的陆地	Daratan Berlawanan dengan Laut
001010	Bodies of Water	Cuerpos Acuáticos	Masses d'eau	水体	Kumpulan Air
001011	Sociopolitical Areas	Áreas Sociopolíticas	Zones sociopolitiques	社会政治区域	Wilayah Sosiopolitik
001012	Governmental Administrative Areas	Áreas Administrativas de Gobierno	Zones administratives gouvernementales	政府行政区域	Wilayah Administrasi Pemerintahan
001013	Areas Which Are Uninhabited or Only Sparsely Populated	Zonas deshabitadas o escasamente pobladas	Zones inhabitées ou peu peuplées	无人居住或人烟稀少的地区	Wilayah yang Tidak Berpenghuni atau Berpenduduk Jarang
001014	Population Centers	Centros Poblados	Centres de population	人口集中的地区	Pusat Populasi
001015	Pastures and Cultivated Lands	Pastos y tierras cultivadas	Pâturages et terres cultivées	牧地及耕地	Padang Rumput dan Tanah Garapan
001016	Thoroughfares: Roads, Streets, Paths, etc.	Vías de comunicación: Carreteras, calles, caminos, etc.	Voies de circulation : routes, rues, chemins, etc.	通路：道路、街道、小径等	Jalur Lalu Lintas: Jalan Raya, Jalan, Lorong, dll.
002001	Elements	Elementos	Éléments	元素	Unsur
