# LLM direction adjudication (claude-haiku-4-5-20251001) of build_hierarchy_dag.py's dropped-edge
# pool (dropped_edges.tsv). verdict: agree = Haiku confirmed broader_strong as
# the broader term; disagree = Haiku picked narrower_strong instead. Side (a/b)
# was randomized per pair before prompting. See adjudicate_direction_llm.py.
broader_strong	narrower_strong	sources	verdict
H0001	H0430	apposition:7	disagree
H0001	H0776	apposition:1	agree
H0001	H1121	apposition:1	disagree
H0001	H3605	apposition:1	agree
H0001	H4428	apposition:4	agree
H0113	H0376	apposition:1	agree
H0113	H0430	apposition:1	agree
H0113	H4428	apposition:68	disagree
H0120	H0802	apposition:1	disagree
H0127	H0776	apposition:1	disagree
H0127	H6629	apposition:1	disagree
H0157	H1121	apposition:1	agree
H0157	H3027	apposition:1	agree
H0157	H3899	apposition:1	agree
H0157	H4325	apposition:1	agree
H0157	H8081	apposition:1	disagree
H0214	H8064	apposition:1	disagree
H0269	H0001	apposition:4	disagree
H0269	H0517	apposition:4	agree
H0269	H1323	apposition:8	disagree
H0310	H0001	apposition:1	agree
H0310	H0430	apposition:6	agree
H0310	H1121	apposition:7	disagree
H0310	H3899	apposition:1	disagree
H0310	H4325	apposition:1	agree
H0310	H5650	apposition:1	disagree
H0341	H1121	apposition:1	agree
H0341	H4428	apposition:1	agree
H0352	H1167	apposition:2	disagree
H0367	H1419	apposition:1	disagree
H0398	H0068	apposition:1	agree
H0398	H1259	apposition:1	disagree
H0413	H0001	apposition:1	agree
H0413	H0430	apposition:2	agree
H0413	H0776	apposition:1	agree
H0413	H4428	apposition:1	agree
H0413	H7307	apposition:1	agree
H0413	H8064	apposition:1	agree
H0441	H1121	apposition:1	agree
H0517	H4428	apposition:1	disagree
H0567	H0776	apposition:1	disagree
H0567	H1323	apposition:1	agree
H0567	H2022	apposition:1	agree
H0567	H3427	apposition:1	disagree
H0567	H3605	apposition:1	disagree
H0567	H4428	apposition:5	agree
H0612	H1004	apposition:1	agree
H0639	H0068	apposition:1	disagree
H0639	H1121	apposition:1	agree
H0784	H0068	apposition:1	agree
H0801	H0430	apposition:1	disagree
H0801	H3899	apposition:1	disagree
H0802	H1004	apposition:1	agree
H0802	H1121	apposition:1	agree
H0802	H3605	apposition:1	agree
H0899	H6944	apposition:1	agree
H0901	H0269	apposition:2	agree
H0905	H0430	apposition:1	disagree
H0905	H0899	apposition:1	disagree
H0905	H6086	apposition:1	agree
H0905	H6944	apposition:1	agree
H0929	H0505	apposition:1	agree
H0929	H3605	apposition:1	agree
H0929	H6629	apposition:1	agree
H0969	H4014	apposition:1	agree
H0990	H1121	apposition:1	agree
H0990	H1320	apposition:1	agree
H0990	H1323	apposition:1	disagree
H0996	H4428	apposition:1	agree
H1004	H0430	apposition:8	disagree
H1004	H1121	apposition:2	disagree
H1004	H3605	apposition:3	agree
H1004	H4428	apposition:1	disagree
H1060	H0001	apposition:1	disagree
H1060	H1121	apposition:1	agree
H1060	H8130	apposition:1	disagree
H1115	H1121	apposition:1	agree
H1115	H3427	apposition:1	agree
H1157	H3605	apposition:1	disagree
H1157	H7611	apposition:1	disagree
H1167	H0430	apposition:4	disagree
H1247	H5030	apposition:1	disagree
H1285	H0430	apposition:1	disagree
H1285	H1697	apposition:1	disagree
H1323	H0251	apposition:1	agree
H1323	H0802	apposition:2	disagree
H1323	H1121	apposition:1	agree
H1323	H3548	apposition:2	agree
H1323	H4428	apposition:3	disagree
H1366	H4428	apposition:1	disagree
H1375	H3701	apposition:1	disagree
H1383	H4639	apposition:1	agree
H1383	H5688	apposition:1	agree
H1389	H1995	apposition:1	agree
H1389	H2022	apposition:1	disagree
H1397	H2428	apposition:1	agree
H1397	H5869	apposition:2	agree
H1419	H0776	apposition:1	agree
H1419	H1121	apposition:1	agree
H1419	H3605	apposition:1	agree
H1419	H4428	apposition:3	agree
H1422	H4148	apposition:1	agree
H1422	H4923	apposition:1	agree
H1471	H0376	apposition:1	agree
H1471	H0776	apposition:1	agree
H1471	H1121	apposition:1	disagree
H1471	H3605	apposition:2	agree
H1471	H5971	apposition:1	agree
H1473	H1121	apposition:1	disagree
H1473	H5971	apposition:1	disagree
H1473	H7628	apposition:1	agree
H1501	H1419	apposition:1	disagree
H1501	H2428	apposition:1	disagree
H1546	H4428	apposition:1	agree
H1612	H0776	apposition:1	disagree
H1612	H8081	apposition:1	disagree
H1637	H2983	apposition:1	agree
H1697	H0802	apposition:2	agree
H1697	H1121	apposition:3	disagree
H1697	H4428	apposition:1	disagree
H1755	H0376	apposition:1	agree
H1755	H4421	apposition:1	agree
H1870	H0001	apposition:1	agree
H1875	H5892	apposition:1	disagree
H1926	H5158	apposition:1	disagree
H1926	H6086	apposition:1	disagree
H1926	H6160	apposition:1	disagree
H1966	H1121	apposition:1	agree
H1966	H7837	apposition:1	disagree
H1979	H4428	apposition:1	agree
H1993	H5947	apposition:1	disagree
H1993	H7151	apposition:1	disagree
H2022	H0430	apposition:1	agree
H2022	H1004	apposition:1	disagree
H2022	H3605	apposition:1	agree
H2070	H0430	apposition:4	disagree
H2091	H0430	apposition:1	disagree
H2091	H1004	apposition:1	agree
H2091	H6944	apposition:1	agree
H2108	H1121	apposition:1	agree
H2114	H1471	apposition:1	disagree
H2195	H0639	apposition:1	agree
H2195	H2740	apposition:1	agree
H2195	H3605	apposition:1	agree
H2197	H0068	apposition:1	disagree
H2197	H1259	apposition:1	disagree
H2197	H2230	apposition:1	disagree
H2205	H3605	apposition:1	disagree
H2205	H7218	apposition:1	agree
H2205	H7453	apposition:1	agree
H2233	H3548	apposition:1	agree
H2233	H5650	apposition:1	agree
H2256	H4467	apposition:1	disagree
H2340	H0776	apposition:1	agree
H2340	H1706	apposition:1	agree
H2340	H2100	apposition:1	agree
H2340	H2461	apposition:1	agree
H2340	H3427	apposition:1	agree
H2377	H1121	apposition:1	disagree
H2398	H1121	apposition:1	agree
H2398	H2233	apposition:1	disagree
H2398	H3515	apposition:1	disagree
H2398	H5771	apposition:1	disagree
H2398	H5971	apposition:1	disagree
H2406	H0776	apposition:1	agree
H2406	H2132	apposition:1	disagree
H2416	H0001	apposition:1	agree
H2416	H3605	apposition:3	disagree
H2428	H4428	apposition:1	agree
H2428	H8269	apposition:3	agree
H2445	H0825	apposition:1	agree
H2472	H3915	apposition:2	agree
H2532	H5159	apposition:1	agree
H2532	H6643	apposition:1	agree
H2534	H0430	apposition:1	disagree
H2593	H1004	apposition:1	disagree
H2593	H3211	apposition:1	disagree
H2625	H1419	apposition:1	agree
H2625	H2428	apposition:1	agree
H2719	H0376	apposition:1	agree
H2719	H1121	apposition:1	disagree
H2719	H6430	apposition:1	agree
H2752	H1121	apposition:1	agree
H2850	H0776	apposition:1	disagree
H2859	H0001	apposition:2	agree
H2859	H5291	apposition:2	agree
H2860	H1323	apposition:1	disagree
H2896	H0776	apposition:2	disagree
H2896	H4325	apposition:1	disagree
H2896	H8064	apposition:1	disagree
H2898	H1964	apposition:1	disagree
H2898	H6918	apposition:1	disagree
H2945	H3605	apposition:1	disagree
H2945	H7998	apposition:1	agree
H2983	H0776	apposition:2	agree
H2983	H1706	apposition:1	disagree
H2983	H2100	apposition:1	agree
H2983	H2461	apposition:1	agree
H2983	H3427	apposition:2	agree
H3018	H1121	apposition:1	disagree
H3018	H1241	apposition:1	disagree
H3018	H1323	apposition:1	agree
H3018	H6629	apposition:1	agree
H3027	H0001	apposition:1	agree
H3027	H0430	apposition:2	agree
H3027	H1121	apposition:3	agree
H3027	H3605	apposition:1	agree
H3027	H4428	apposition:3	disagree
H3064	H5971	apposition:1	agree
H3117	H1121	apposition:1	agree
H3117	H2416	apposition:1	disagree
H3117	H3548	apposition:1	disagree
H3117	H4428	apposition:5	disagree
H3173	H4553	apposition:1	disagree
H3206	H2233	apposition:1	disagree
H3206	H3027	apposition:1	agree
H3206	H4639	apposition:1	agree
H3218	H1419	apposition:1	agree
H3218	H2428	apposition:1	agree
H3220	H4325	apposition:1	disagree
H3220	H7227	apposition:1	disagree
H3228	H0376	apposition:1	agree
H3228	H3027	apposition:1	agree
H3228	H3225	apposition:1	disagree
H3289	H0001	apposition:1	disagree
H3289	H0413	apposition:1	agree
H3289	H1368	apposition:1	agree
H3289	H5704	apposition:1	agree
H3289	H7965	apposition:1	agree
H3289	H8269	apposition:1	agree
H3372	H0376	apposition:1	agree
H3372	H0571	apposition:1	disagree
H3372	H8130	apposition:1	disagree
H3394	H3605	apposition:1	agree
H3394	H6635	apposition:1	disagree
H3394	H8064	apposition:1	agree
H3427	H8064	apposition:2	agree
H3476	H0571	apposition:1	disagree
H3476	H1697	apposition:1	agree
H3519	H0113	apposition:1	agree
H3519	H0430	apposition:1	agree
H3519	H1004	apposition:1	agree
H3519	H3605	apposition:1	disagree
H3519	H3627	apposition:1	agree
H3532	H1121	apposition:3	agree
H3532	H8141	apposition:3	disagree
